ensembl_gene_symbol	ensembl_gene_id	ensembl_transcript_id	hgnc_symbol	hgnc_id	refseq_gene_symbol	ncbi_gene_id	oncogene	tsgene	data_source
AGAP2	ENSG00000135439.12	ENST00000547588.6	AGAP2	HGNC:16921	AGAP2	116986	NA	NA	bushmanlab
AGER	ENSG00000204305.16	ENST00000375076.9	AGER	HGNC:320	AGER	177	NA	NA	bushmanlab
AHI1	ENSG00000135541.22	ENST00000265602.11	AHI1	HGNC:21575	AHI1	54806	NA	NA	bushmanlab
AIFM1	ENSG00000156709.15	ENST00000287295.8	AIFM1	HGNC:8768	AIFM1	9131	NA	NA	bushmanlab
AIFM2	ENSG00000042286.15	ENST00000307864.3	AIFM2	HGNC:21411	AIFM2	84883	NA	NA	bushmanlab
AIP	ENSG00000110711.11	ENST00000279146.8	AIP	HGNC:358	AIP	9049	NA	NA	bushmanlab
AKAP12	ENSG00000131016.17	ENST00000402676.7	AKAP12	HGNC:370	AKAP12	9590	NA	NA	bushmanlab
AKAP13	ENSG00000170776.22	ENST00000394518.7	AKAP13	HGNC:371	AKAP13	11214	NA	NA	bushmanlab
AKAP9	ENSG00000127914.19	ENST00000356239.8	AKAP9	HGNC:379	AKAP9	10142	NA	NA	bushmanlab
AKR1C3	ENSG00000196139.14	ENST00000380554.5	AKR1C3	HGNC:386	AKR1C3	8644	NA	NA	bushmanlab
AKT1	ENSG00000142208.18	ENST00000649815.2	AKT1	HGNC:391	AKT1	207	NA	NA	bushmanlab
AKT1S1	ENSG00000204673.11	ENST00000344175.10	AKT1S1	HGNC:28426	AKT1S1	84335	NA	NA	bushmanlab
AKT2	ENSG00000105221.18	ENST00000392038.7	AKT2	HGNC:392	AKT2	208	NA	NA	bushmanlab
AKT3	ENSG00000117020.19	ENST00000673466.1	AKT3	HGNC:393	AKT3	10000	NA	NA	bushmanlab
ALAD	ENSG00000148218.16	ENST00000409155.8	ALAD	HGNC:395	ALAD	210	NA	NA	bushmanlab
ALCAM	ENSG00000170017.12	ENST00000306107.9	ALCAM	HGNC:400	ALCAM	214	NA	NA	bushmanlab
ALDH2	ENSG00000111275.13	ENST00000261733.7	ALDH2	HGNC:404	ALDH2	217	NA	NA	bushmanlab
ALDOB	ENSG00000136872.21	ENST00000647789.2	ALDOB	HGNC:417	ALDOB	229	NA	NA	bushmanlab
ALG14	ENSG00000172339.10	ENST00000370205.6	ALG14	HGNC:28287	ALG14	199857	NA	NA	bushmanlab
ALK	ENSG00000171094.18	ENST00000389048.8	ALK	HGNC:427	ALK	238	NA	NA	bushmanlab
ALOX12	ENSG00000108839.12	ENST00000251535.11	ALOX12	HGNC:429	ALOX12	239	NA	NA	bushmanlab
ALOX15	ENSG00000161905.13	ENST00000293761.8	ALOX15	HGNC:433	ALOX15	246	NA	NA	bushmanlab
ALOX5	ENSG00000012779.12	ENST00000374391.7	ALOX5	HGNC:435	ALOX5	240	NA	NA	bushmanlab
ALS2CL	ENSG00000178038.17	ENST00000318962.9	ALS2CL	HGNC:20605	ALS2CL	259173	NA	NA	bushmanlab
AMBN	ENSG00000178522.15	ENST00000322937.10	AMBN	HGNC:452	AMBN	258	NA	NA	bushmanlab
AMER1	ENSG00000184675.11	ENST00000374869.8	AMER1	HGNC:26837	AMER1	139285	NA	NA	bushmanlab
AMFR	ENSG00000159461.15	ENST00000290649.10	AMFR	HGNC:463	AMFR	267	NA	NA	bushmanlab
AMOT	ENSG00000126016.17	ENST00000371959.9	AMOT	HGNC:17810	AMOT	154796	NA	NA	bushmanlab
ANG	ENSG00000214274.10	ENST00000397990.5	ANG	HGNC:483	ANG	283	NA	NA	bushmanlab
ANK1	ENSG00000029534.21	ENST00000289734.13	ANK1	HGNC:492	ANK1	286	NA	NA	bushmanlab
ANKHD1	ENSG00000131503.21	ENST00000360839.7	ANKHD1	HGNC:24714	ANKHD1	54882	NA	NA	bushmanlab
ANKRD44	ENSG00000065413.20	ENST00000282272.15	ANKRD44	HGNC:25259	ANKRD44	91526	NA	NA	bushmanlab
ANLN	ENSG00000011426.11	ENST00000265748.7	ANLN	HGNC:14082	ANLN	54443	NA	NA	bushmanlab
ANP32A	ENSG00000140350.15	ENST00000465139.6	ANP32A	HGNC:13233	ANP32A	8125	NA	NA	bushmanlab
ANP32B	ENSG00000136938.9	ENST00000339399.5	ANP32B	HGNC:16677	ANP32B	10541	NA	NA	bushmanlab
ANXA1	ENSG00000135046.14	ENST00000257497.11	ANXA1	HGNC:533	ANXA1	301	NA	NA	bushmanlab
AP3M2	ENSG00000070718.12	ENST00000396926.8	AP3M2	HGNC:570	AP3M2	10947	NA	NA	bushmanlab
APAF1	ENSG00000120868.14	ENST00000551964.6	APAF1	HGNC:576	APAF1	317	NA	NA	bushmanlab
APC	ENSG00000134982.17	ENST00000257430.9	APC	HGNC:583	APC	324	NA	NA	bushmanlab
APC2	ENSG00000115266.12	ENST00000590469.6	APC2	HGNC:24036	APC2	10297	NA	NA	bushmanlab
APEH	ENSG00000164062.13	ENST00000296456.10	APEH	HGNC:586	APEH	327	NA	NA	bushmanlab
APH1A	ENSG00000117362.13	ENST00000369109.8	APH1A	HGNC:29509	APH1A	51107	NA	NA	bushmanlab
APLNR	ENSG00000134817.12	ENST00000606794.2	APLNR	HGNC:339	APLNR	187	NA	NA	bushmanlab
APOBEC2	ENSG00000124701.6	ENST00000244669.3	APOBEC2	HGNC:605	APOBEC2	10930	NA	NA	bushmanlab
APOBEC3B	ENSG00000179750.16	ENST00000333467.4	APOBEC3B	HGNC:17352	APOBEC3B	9582	NA	NA	bushmanlab
AQP4	ENSG00000171885.18	ENST00000383168.9	AQP4	HGNC:637	AQP4	361	NA	NA	bushmanlab
AR	ENSG00000169083.18	ENST00000374690.9	AR	HGNC:644	AR	367	NA	NA	bushmanlab
ARAF	ENSG00000078061.14	ENST00000377045.9	ARAF	HGNC:646	ARAF	369	NA	NA	bushmanlab
ARAFP2	ENSG00000224368.1	ENST00000440565.1	ARAFP2	HGNC:647	ARAFP2	644000	NA	NA	bushmanlab
ARAP2	ENSG00000047365.13	ENST00000303965.9	ARAP2	HGNC:16924	ARAP2	116984	NA	NA	bushmanlab
AREG	ENSG00000109321.11	ENST00000395748.8	AREG	HGNC:651	AREG	374	NA	NA	bushmanlab
ARF6	ENSG00000165527.8	ENST00000298316.7	ARF6	HGNC:659	ARF6	382	NA	NA	bushmanlab
ARHGAP20	ENSG00000137727.13	ENST00000683387.1	ARHGAP20	HGNC:18357	ARHGAP20	57569	NA	NA	bushmanlab
ARHGAP21	ENSG00000107863.20	ENST00000396432.7	ARHGAP21	HGNC:23725	ARHGAP21	57584	NA	NA	bushmanlab
ARHGAP25	ENSG00000163219.12	ENST00000409202.8	ARHGAP25	HGNC:28951	ARHGAP25	9938	NA	NA	bushmanlab
ARHGAP26	ENSG00000145819.18	ENST00000645722.2	ARHGAP26	HGNC:17073	ARHGAP26	23092	NA	NA	bushmanlab
ARHGAP4	ENSG00000089820.16	ENST00000350060.10	ARHGAP4	HGNC:674	ARHGAP4	393	NA	NA	bushmanlab
ARHGAP5	ENSG00000100852.14	ENST00000345122.8	ARHGAP5	HGNC:675	ARHGAP5	394	NA	NA	bushmanlab
ARHGAP9	ENSG00000123329.20	ENST00000393791.8	ARHGAP9	HGNC:14130	ARHGAP9	64333	NA	NA	bushmanlab
ARHGEF10	ENSG00000104728.16	ENST00000349830.8	ARHGEF10	HGNC:14103	ARHGEF10	9639	NA	NA	bushmanlab
ARHGEF10L	ENSG00000074964.17	ENST00000361221.8	ARHGEF10L	HGNC:25540	ARHGEF10L	55160	NA	NA	bushmanlab
ARHGEF12	ENSG00000196914.9	ENST00000397843.7	ARHGEF12	HGNC:14193	ARHGEF12	23365	NA	NA	bushmanlab
ARHGEF2	ENSG00000116584.21	ENST00000361247.9	ARHGEF2	HGNC:682	ARHGEF2	9181	NA	NA	bushmanlab
ARHGEF4	ENSG00000136002.20	ENST00000409359.7	ARHGEF4	HGNC:684	ARHGEF4	50649	NA	NA	bushmanlab
ARID1A	ENSG00000117713.21	ENST00000324856.13	ARID1A	HGNC:11110	ARID1A	8289	NA	NA	bushmanlab
ARID1B	ENSG00000049618.24	ENST00000636930.2	ARID1B	HGNC:18040	ARID1B	57492	NA	NA	bushmanlab
ARID2	ENSG00000189079.17	ENST00000334344.11	ARID2	HGNC:18037	ARID2	196528	NA	NA	bushmanlab
ARID4A	ENSG00000032219.19	ENST00000355431.8	ARID4A	HGNC:9885	ARID4A	5926	NA	NA	bushmanlab
ARID5A	ENSG00000196843.17	ENST00000357485.8	ARID5A	HGNC:17361	ARID5A	10865	NA	NA	bushmanlab
ARID5B	ENSG00000150347.17	ENST00000279873.12	ARID5B	HGNC:17362	ARID5B	84159	NA	NA	bushmanlab
ARMCX1	ENSG00000126947.13	ENST00000372829.8	ARMCX1	HGNC:18073	ARMCX1	51309	NA	NA	bushmanlab
ARMCX2	ENSG00000184867.14	ENST00000356824.9	ARMCX2	HGNC:16869	ARMCX2	9823	NA	NA	bushmanlab
ARMCX3	ENSG00000102401.20	ENST00000471229.7	ARMCX3	HGNC:24065	ARMCX3	51566	NA	NA	bushmanlab
ARNT	ENSG00000143437.21	ENST00000358595.10	ARNT	HGNC:700	ARNT	405	NA	NA	bushmanlab
ASAP1	ENSG00000153317.15	ENST00000518721.6	ASAP1	HGNC:2720	ASAP1	50807	NA	NA	bushmanlab
ASCL1	ENSG00000139352.4	ENST00000266744.4	ASCL1	HGNC:738	ASCL1	429	NA	NA	bushmanlab
ASH2L	ENSG00000129691.16	ENST00000343823.11	ASH2L	HGNC:744	ASH2L	9070	NA	NA	bushmanlab
ASL	ENSG00000126522.17	ENST00000304874.14	ASL	HGNC:746	ASL	435	NA	NA	bushmanlab
ASNS	ENSG00000070669.17	ENST00000394308.8	ASNS	HGNC:753	ASNS	440	NA	NA	bushmanlab
ASPM	ENSG00000066279.19	ENST00000367409.9	ASPM	HGNC:19048	ASPM	259266	NA	NA	bushmanlab
ASPSCR1	ENSG00000169696.16	ENST00000306739.9	ASPSCR1	HGNC:13825	ASPSCR1	79058	NA	NA	bushmanlab
ASTN2	ENSG00000148219.18	ENST00000313400.9	ASTN2	HGNC:17021	ASTN2	23245	NA	NA	bushmanlab
ASXL1	ENSG00000171456.21	ENST00000375687.10	ASXL1	HGNC:18318	ASXL1	171023	NA	NA	bushmanlab
ASXL2	ENSG00000143970.18	ENST00000435504.9	ASXL2	HGNC:23805	ASXL2	55252	NA	NA	bushmanlab
ATF1	ENSG00000123268.9	ENST00000262053.8	ATF1	HGNC:783	ATF1	466	NA	NA	bushmanlab
ATF2	ENSG00000115966.18	ENST00000264110.7	ATF2	HGNC:784	ATF2	1386	NA	NA	bushmanlab
ATF3	ENSG00000162772.17	ENST00000341491.9	ATF3	HGNC:785	ATF3	467	NA	NA	bushmanlab
ATF4	ENSG00000128272.18	ENST00000674920.3	ATF4	HGNC:786	ATF4	468	NA	NA	bushmanlab
ATF5	ENSG00000169136.13	ENST00000423777.7	ATF5	HGNC:790	ATF5	22809	NA	NA	bushmanlab
ATF7IP	ENSG00000171681.13	ENST00000261168.9	ATF7IP	HGNC:20092	ATF7IP	55729	NA	NA	bushmanlab
ATG2B	ENSG00000066739.12	ENST00000359933.6	ATG2B	HGNC:20187	ATG2B	55102	NA	NA	bushmanlab
ATIC	ENSG00000138363.15	ENST00000236959.14	ATIC	HGNC:794	ATIC	471	NA	NA	bushmanlab
ATM	ENSG00000149311.20	ENST00000675843.1	ATM	HGNC:795	ATM	472	NA	NA	bushmanlab
ATMIN	ENSG00000166454.10	ENST00000299575.5	ATMIN	HGNC:29034	ATMIN	23300	NA	NA	bushmanlab
ATP1A1	ENSG00000163399.16	ENST00000295598.10	ATP1A1	HGNC:799	ATP1A1	476	NA	NA	bushmanlab
ATP2B3	ENSG00000067842.18	ENST00000263519.5	ATP2B3	HGNC:816	ATP2B3	492	NA	NA	bushmanlab
ATP2B4	ENSG00000058668.15	ENST00000357681.10	ATP2B4	HGNC:817	ATP2B4	493	NA	NA	bushmanlab
ATP5F1B	ENSG00000110955.9	ENST00000262030.8	ATP5F1B	HGNC:830	ATP5F1B	506	NA	NA	bushmanlab
ATP8B1	ENSG00000081923.15	ENST00000648908.2	ATP8B1	HGNC:3706	ATP8B1	5205	NA	NA	bushmanlab
ATR	ENSG00000175054.16	ENST00000350721.9	ATR	HGNC:882	ATR	545	NA	NA	bushmanlab
ATRX	ENSG00000085224.23	ENST00000373344.11	ATRX	HGNC:886	ATRX	546	NA	NA	bushmanlab
AUH	ENSG00000148090.12	ENST00000375731.9	AUH	HGNC:890	AUH	549	NA	NA	bushmanlab
AURKA	ENSG00000087586.18	ENST00000395915.8	AURKA	HGNC:11393	AURKA	6790	NA	NA	bushmanlab
AURKB	ENSG00000178999.13	ENST00000585124.6	AURKB	HGNC:11390	AURKB	9212	NA	NA	bushmanlab
AUTS2	ENSG00000158321.18	ENST00000342771.10	AUTS2	HGNC:14262	AUTS2	26053	NA	NA	bushmanlab
AVEN	ENSG00000169857.9	ENST00000306730.8	AVEN	HGNC:13509	AVEN	57099	NA	NA	bushmanlab
AVPI1	ENSG00000119986.7	ENST00000370626.4	AVPI1	HGNC:30898	AVPI1	60370	NA	NA	bushmanlab
AXIN1	ENSG00000103126.15	ENST00000262320.8	AXIN1	HGNC:903	AXIN1	8312	NA	NA	bushmanlab
AXIN2	ENSG00000168646.14	ENST00000307078.10	AXIN2	HGNC:904	AXIN2	8313	NA	NA	bushmanlab
AXL	ENSG00000167601.12	ENST00000301178.9	AXL	HGNC:905	AXL	558	NA	NA	bushmanlab
B2M	ENSG00000166710.22	ENST00000648006.3	B2M	HGNC:914	B2M	567	NA	NA	bushmanlab
B3GNT6	ENSG00000198488.10	ENST00000622824.1	B3GNT6	HGNC:24141	B3GNT6	192134	NA	NA	bushmanlab
B4GALT5	ENSG00000158470.5	ENST00000371711.4	B4GALT5	HGNC:928	B4GALT5	9334	NA	NA	bushmanlab
BAALC	ENSG00000164929.17	ENST00000309982.10	BAALC	HGNC:14333	BAALC	79870	NA	NA	bushmanlab
BABAM2	ENSG00000158019.21	ENST00000379624.6	BABAM2	HGNC:1106	BABAM2	9577	NA	NA	bushmanlab
BACH2	ENSG00000112182.15	ENST00000257749.9	BACH2	HGNC:14078	BACH2	60468	NA	NA	bushmanlab
BAD	ENSG00000002330.14	ENST00000309032.8	BAD	HGNC:936	BAD	572	NA	NA	bushmanlab
BAG1	ENSG00000107262.26	ENST00000634734.3	BAG1	HGNC:937	BAG1	573	NA	NA	bushmanlab
BAG3	ENSG00000151929.10	ENST00000369085.8	BAG3	HGNC:939	BAG3	9531	NA	NA	bushmanlab
BAK1	ENSG00000030110.14	ENST00000374467.4	BAK1	HGNC:949	BAK1	578	NA	NA	bushmanlab
BAP1	ENSG00000163930.10	ENST00000460680.6	BAP1	HGNC:950	BAP1	8314	NA	NA	bushmanlab
BARD1	ENSG00000138376.11	ENST00000260947.9	BARD1	HGNC:952	BARD1	580	NA	NA	bushmanlab
BATF	ENSG00000156127.8	ENST00000286639.8	BATF	HGNC:958	BATF	10538	NA	NA	bushmanlab
BAX	ENSG00000087088.21	ENST00000345358.12	BAX	HGNC:959	BAX	581	NA	NA	bushmanlab
BAZ1A	ENSG00000198604.11	ENST00000360310.6	BAZ1A	HGNC:960	BAZ1A	11177	NA	NA	bushmanlab
BBC3	ENSG00000105327.18	ENST00000439096.3	BBC3	HGNC:17868	BBC3	27113	NA	NA	bushmanlab
BCAR1	ENSG00000050820.17	ENST00000162330.10	BCAR1	HGNC:971	BCAR1	9564	NA	NA	bushmanlab
BCAS3	ENSG00000141376.23	ENST00000407086.8	BCAS3	HGNC:14347	BCAS3	54828	NA	NA	bushmanlab
BCAS4	ENSG00000124243.19	ENST00000371608.8	BCAS4	HGNC:14367	BCAS4	55653	NA	NA	bushmanlab
BCL10	ENSG00000142867.14	ENST00000648566.1	BCL10	HGNC:989	BCL10	8915	NA	NA	bushmanlab
BCL11A	ENSG00000119866.22	ENST00000642384.2	BCL11A	HGNC:13221	BCL11A	53335	NA	NA	bushmanlab
BCL11B	ENSG00000127152.18	ENST00000357195.8	BCL11B	HGNC:13222	BCL11B	64919	NA	NA	bushmanlab
BCL2	ENSG00000171791.14	ENST00000333681.5	BCL2	HGNC:990	BCL2	596	NA	NA	bushmanlab
BCL2A1	ENSG00000140379.9	ENST00000267953.4	BCL2A1	HGNC:991	BCL2A1	597	NA	NA	bushmanlab
BCL2L1	ENSG00000171552.14	ENST00000307677.5	BCL2L1	HGNC:992	BCL2L1	598	NA	NA	bushmanlab
BCL2L11	ENSG00000153094.24	ENST00000393256.8	BCL2L11	HGNC:994	BCL2L11	10018	NA	NA	bushmanlab
BCL2L12	ENSG00000126453.10	ENST00000246784.8	BCL2L12	HGNC:13787	BCL2L12	83596	NA	NA	bushmanlab
BCL2L14	ENSG00000121380.12	ENST00000308721.9	BCL2L14	HGNC:16657	BCL2L14	79370	NA	NA	bushmanlab
BCL2L15	ENSG00000188761.13	ENST00000393316.8	BCL2L15	HGNC:33624	BCL2L15	440603	NA	NA	bushmanlab
BCL2L2	ENSG00000129473.11	ENST00000250405.10	BCL2L2	HGNC:995	BCL2L2	599	NA	NA	bushmanlab
BCL3	ENSG00000069399.15	ENST00000164227.10	BCL3	HGNC:998	BCL3	602	NA	NA	bushmanlab
BCL6	ENSG00000113916.18	ENST00000406870.7	BCL6	HGNC:1001	BCL6	604	NA	NA	bushmanlab
BCL7A	ENSG00000110987.9	ENST00000261822.5	BCL7A	HGNC:1004	BCL7A	605	NA	NA	bushmanlab
BCL7B	ENSG00000106635.8	ENST00000223368.7	BCL7B	HGNC:1005	BCL7B	9275	NA	NA	bushmanlab
BCL9	ENSG00000116128.12	ENST00000234739.8	BCL9	HGNC:1008	BCL9	607	NA	NA	bushmanlab
BCL9L	ENSG00000186174.13	ENST00000683865.1	BCL9L	HGNC:23688	BCL9L	283149	NA	NA	bushmanlab
BCLAF1	ENSG00000029363.17	ENST00000531224.6	BCLAF1	HGNC:16863	BCLAF1	9774	NA	NA	bushmanlab
BCOR	ENSG00000183337.18	ENST00000378444.9	BCOR	HGNC:20893	BCOR	54880	NA	NA	bushmanlab
BCORL1	ENSG00000085185.16	ENST00000540052.6	BCORL1	HGNC:25657	BCORL1	63035	NA	NA	bushmanlab
BCR	ENSG00000186716.21	ENST00000305877.13	BCR	HGNC:1014	BCR	613	NA	NA	bushmanlab
BCRP2	ENSG00000169668.12	ENST00000447763.2	BCRP2	HGNC:1015	BCRP2	400892	NA	NA	bushmanlab
BCRP3	ENSG00000215481.9	ENST00000621462.4	BCRP3	HGNC:1016	BCRP3	644165	NA	NA	bushmanlab
BCRP4	ENSG00000215456.6	ENST00000506079.2	BCRP4	HGNC:1017	BCRP4	616	NA	NA	bushmanlab
BEX1	ENSG00000133169.6	ENST00000372728.4	BEX1	HGNC:1036	BEX1	55859	NA	NA	bushmanlab
BEX2	ENSG00000133134.12	ENST00000372677.8	BEX2	HGNC:30933	BEX2	84707	NA	NA	bushmanlab
BFSP2	ENSG00000170819.5	ENST00000302334.3	BFSP2	HGNC:1041	BFSP2	8419	NA	NA	bushmanlab
BGN	ENSG00000182492.16	ENST00000331595.9	BGN	HGNC:1044	BGN	633	NA	NA	bushmanlab
BHLHE41	ENSG00000123095.6	ENST00000242728.5	BHLHE41	HGNC:16617	BHLHE41	79365	NA	NA	bushmanlab
BID	ENSG00000015475.19	ENST00000622694.5	BID	HGNC:1050	BID	637	NA	NA	bushmanlab
BIN1	ENSG00000136717.15	ENST00000316724.10	BIN1	HGNC:1052	BIN1	274	NA	NA	bushmanlab
BIRC2	ENSG00000110330.10	ENST00000227758.7	BIRC2	HGNC:590	BIRC2	329	NA	NA	bushmanlab
BIRC3	ENSG00000023445.16	ENST00000263464.9	BIRC3	HGNC:591	BIRC3	330	NA	NA	bushmanlab
BIRC6	ENSG00000115760.15	ENST00000421745.7	BIRC6	HGNC:13516	BIRC6	57448	NA	NA	bushmanlab
