hgnc_id	symbol	ensembl_gene_id	hgnc_source	oncogene	tsgene	data_source
HGNC:11110	ARID1A	ENSG00000117713	es105	NA	NA	bushmanlab
HGNC:18040	ARID1B	ENSG00000049618	es105	NA	NA	bushmanlab
HGNC:18037	ARID2	ENSG00000189079	es105	NA	NA	bushmanlab
HGNC:9885	ARID4A	ENSG00000032219	es105	NA	NA	bushmanlab
HGNC:17361	ARID5A	ENSG00000196843	es105	NA	NA	bushmanlab
HGNC:17362	ARID5B	ENSG00000150347	es105	NA	NA	bushmanlab
HGNC:18073	ARMCX1	ENSG00000126947	es105	NA	NA	bushmanlab
HGNC:16869	ARMCX2	ENSG00000184867	es105	NA	NA	bushmanlab
HGNC:24065	ARMCX3	ENSG00000102401	es105	NA	NA	bushmanlab
HGNC:700	ARNT	ENSG00000143437	es105	NA	NA	bushmanlab
HGNC:2720	ASAP1	ENSG00000153317	es105	NA	NA	bushmanlab
HGNC:738	ASCL1	ENSG00000139352	es105	NA	NA	bushmanlab
HGNC:744	ASH2L	ENSG00000129691	es105	NA	NA	bushmanlab
HGNC:746	ASL	ENSG00000126522	es105	NA	NA	bushmanlab
HGNC:753	ASNS	ENSG00000070669	es105	NA	NA	bushmanlab
HGNC:19048	ASPM	ENSG00000066279	es105	NA	NA	bushmanlab
HGNC:13825	ASPSCR1	ENSG00000169696	es105	NA	NA	bushmanlab
HGNC:17021	ASTN2	ENSG00000148219	es105	NA	NA	bushmanlab
HGNC:18318	ASXL1	ENSG00000171456	es105	NA	NA	bushmanlab
HGNC:23805	ASXL2	ENSG00000143970	es105	NA	NA	bushmanlab
HGNC:783	ATF1	ENSG00000123268	es105	NA	NA	bushmanlab
HGNC:784	ATF2	ENSG00000115966	es105	NA	NA	bushmanlab
HGNC:785	ATF3	ENSG00000162772	es105	NA	NA	bushmanlab
HGNC:786	ATF4	ENSG00000128272	es105	NA	NA	bushmanlab
HGNC:790	ATF5	ENSG00000169136	es105	NA	NA	bushmanlab
HGNC:20092	ATF7IP	ENSG00000171681	es105	NA	NA	bushmanlab
HGNC:20187	ATG2B	ENSG00000066739	es105	NA	NA	bushmanlab
HGNC:794	ATIC	ENSG00000138363	es105	NA	NA	bushmanlab
HGNC:795	ATM	ENSG00000149311	es105	NA	NA	bushmanlab
HGNC:29034	ATMIN	ENSG00000166454	es105	NA	NA	bushmanlab
HGNC:799	ATP1A1	ENSG00000163399	es105	NA	NA	bushmanlab
HGNC:816	ATP2B3	ENSG00000067842	es105	NA	NA	bushmanlab
HGNC:817	ATP2B4	ENSG00000058668	es105	NA	NA	bushmanlab
HGNC:830	ATP5F1B	ENSG00000110955	es105	NA	NA	bushmanlab
HGNC:3706	ATP8B1	ENSG00000081923	es105	NA	NA	bushmanlab
HGNC:882	ATR	ENSG00000175054	es105	NA	NA	bushmanlab
HGNC:886	ATRX	ENSG00000085224	es105	NA	NA	bushmanlab
HGNC:890	AUH	ENSG00000148090	es105	NA	NA	bushmanlab
HGNC:11393	AURKA	ENSG00000087586	es105	NA	NA	bushmanlab
HGNC:11390	AURKB	ENSG00000178999	es105	NA	NA	bushmanlab
HGNC:14262	AUTS2	ENSG00000158321	es105	NA	NA	bushmanlab
HGNC:13509	AVEN	ENSG00000169857	es105	NA	NA	bushmanlab
HGNC:30898	AVPI1	ENSG00000119986	es105	NA	NA	bushmanlab
HGNC:903	AXIN1	ENSG00000103126	es105	NA	NA	bushmanlab
HGNC:904	AXIN2	ENSG00000168646	es105	NA	NA	bushmanlab
HGNC:905	AXL	ENSG00000167601	es105	NA	NA	bushmanlab
HGNC:914	B2M	ENSG00000166710	es105	NA	NA	bushmanlab
HGNC:24141	B3GNT6	ENSG00000198488	es105	NA	NA	bushmanlab
HGNC:928	B4GALT5	ENSG00000158470	es105	NA	NA	bushmanlab
HGNC:14333	BAALC	ENSG00000164929	es105	NA	NA	bushmanlab
HGNC:1106	BABAM2	ENSG00000158019	es105	NA	NA	bushmanlab
HGNC:14078	BACH2	ENSG00000112182	es105	NA	NA	bushmanlab
HGNC:936	BAD	ENSG00000002330	es105	NA	NA	bushmanlab
HGNC:937	BAG1	ENSG00000107262	es105	NA	NA	bushmanlab
HGNC:939	BAG3	ENSG00000151929	es105	NA	NA	bushmanlab
HGNC:949	BAK1	ENSG00000030110	es105	NA	NA	bushmanlab
HGNC:950	BAP1	ENSG00000163930	es105	NA	NA	bushmanlab
HGNC:952	BARD1	ENSG00000138376	es105	NA	NA	bushmanlab
HGNC:958	BATF	ENSG00000156127	es105	NA	NA	bushmanlab
HGNC:959	BAX	ENSG00000087088	es105	NA	NA	bushmanlab
HGNC:960	BAZ1A	ENSG00000198604	es105	NA	NA	bushmanlab
HGNC:17868	BBC3	ENSG00000105327	es105	NA	NA	bushmanlab
HGNC:971	BCAR1	ENSG00000050820	es105	NA	NA	bushmanlab
HGNC:14347	BCAS3	ENSG00000141376	es105	NA	NA	bushmanlab
HGNC:14367	BCAS4	ENSG00000124243	es105	NA	NA	bushmanlab
HGNC:989	BCL10	ENSG00000142867	es105	NA	NA	bushmanlab
HGNC:13221	BCL11A	ENSG00000119866	es105	NA	NA	bushmanlab
HGNC:13222	BCL11B	ENSG00000127152	es105	NA	NA	bushmanlab
HGNC:990	BCL2	ENSG00000171791	es105	NA	NA	bushmanlab
HGNC:991	BCL2A1	ENSG00000140379	es105	NA	NA	bushmanlab
HGNC:992	BCL2L1	ENSG00000171552	es105	NA	NA	bushmanlab
HGNC:994	BCL2L11	ENSG00000153094	es105	NA	NA	bushmanlab
HGNC:13787	BCL2L12	ENSG00000126453	es105	NA	NA	bushmanlab
HGNC:16657	BCL2L14	ENSG00000121380	es105	NA	NA	bushmanlab
HGNC:33624	BCL2L15	ENSG00000188761	es105	NA	NA	bushmanlab
HGNC:995	BCL2L2	ENSG00000129473	es105	NA	NA	bushmanlab
HGNC:998	BCL3	ENSG00000069399	es105	NA	NA	bushmanlab
HGNC:1001	BCL6	ENSG00000113916	es105	NA	NA	bushmanlab
HGNC:1004	BCL7A	ENSG00000110987	es105	NA	NA	bushmanlab
HGNC:1005	BCL7B	ENSG00000106635	es105	NA	NA	bushmanlab
HGNC:1008	BCL9	ENSG00000116128	es105	NA	NA	bushmanlab
HGNC:23688	BCL9L	ENSG00000186174	es105	NA	NA	bushmanlab
HGNC:16863	BCLAF1	ENSG00000029363	es105	NA	NA	bushmanlab
HGNC:20893	BCOR	ENSG00000183337	es105	NA	NA	bushmanlab
HGNC:25657	BCORL1	ENSG00000085185	es105	NA	NA	bushmanlab
HGNC:1014	BCR	ENSG00000186716	es105	NA	NA	bushmanlab
HGNC:1015	BCRP2	ENSG00000169668	latest	NA	NA	bushmanlab
HGNC:1016	BCRP3	ENSG00000284128	latest	NA	NA	bushmanlab
HGNC:1017	BCRP4	ENSG00000215456	latest	NA	NA	bushmanlab
HGNC:1036	BEX1	ENSG00000133169	es105	NA	NA	bushmanlab
HGNC:30933	BEX2	ENSG00000133134	es105	NA	NA	bushmanlab
HGNC:1041	BFSP2	ENSG00000170819	es105	NA	NA	bushmanlab
HGNC:1044	BGN	ENSG00000182492	es105	NA	NA	bushmanlab
HGNC:16617	BHLHE41	ENSG00000123095	es105	NA	NA	bushmanlab
HGNC:1050	BID	ENSG00000015475	es105	NA	NA	bushmanlab
HGNC:1052	BIN1	ENSG00000136717	es105	NA	NA	bushmanlab
HGNC:590	BIRC2	ENSG00000110330	es105	NA	NA	bushmanlab
HGNC:591	BIRC3	ENSG00000023445	es105	NA	NA	bushmanlab
HGNC:13516	BIRC6	ENSG00000115760	es105	NA	NA	bushmanlab
HGNC:1055	BLCAP	ENSG00000166619	es105	NA	NA	bushmanlab
HGNC:1058	BLM	ENSG00000197299	es105	NA	NA	bushmanlab
HGNC:14211	BLNK	ENSG00000095585	es105	NA	NA	bushmanlab
HGNC:1066	BMI1	ENSG00000168283	es105	NA	NA	bushmanlab
HGNC:1071	BMP4	ENSG00000125378	es105	NA	NA	bushmanlab
HGNC:1072	BMP5	ENSG00000112175	es105	NA	NA	bushmanlab
HGNC:1076	BMPR1A	ENSG00000107779	es105	NA	NA	bushmanlab
HGNC:1084	BNIP3	ENSG00000176171	es105	NA	NA	bushmanlab
HGNC:1085	BNIP3L	ENSG00000104765	es105	NA	NA	bushmanlab
HGNC:1087	BOK	ENSG00000176720	es105	NA	NA	bushmanlab
HGNC:15519	BOP1	ENSG00000261236	es105	NA	NA	bushmanlab
HGNC:39979	BORCS8-MEF2B	ENSG00000064489	es105	NA	NA	bushmanlab
HGNC:1097	BRAF	ENSG00000157764	es105	NA	NA	bushmanlab
HGNC:21701	BRAT1	ENSG00000106009	es105	NA	NA	bushmanlab
HGNC:1100	BRCA1	ENSG00000012048	es105	NA	NA	bushmanlab
HGNC:1101	BRCA2	ENSG00000139618	es105	NA	NA	bushmanlab
HGNC:1103	BRD2	ENSG00000204256	es105	NA	NA	bushmanlab
HGNC:1104	BRD3	ENSG00000169925	es105	NA	NA	bushmanlab
HGNC:13575	BRD4	ENSG00000141867	es105	NA	NA	bushmanlab
HGNC:20473	BRIP1	ENSG00000136492	es105	NA	NA	bushmanlab
HGNC:17262	BRMS1	ENSG00000174744	es105	NA	NA	bushmanlab
HGNC:17342	BRWD3	ENSG00000165288	es105	NA	NA	bushmanlab
HGNC:18232	BSPRY	ENSG00000119411	es105	NA	NA	bushmanlab
HGNC:27145	BTBD19	ENSG00000222009	es105	NA	NA	bushmanlab
HGNC:1130	BTG1	ENSG00000133639	es105	NA	NA	bushmanlab
HGNC:1131	BTG2	ENSG00000159388	es105	NA	NA	bushmanlab
HGNC:1133	BTK	ENSG00000010671	es105	NA	NA	bushmanlab
HGNC:1144	BTRC	ENSG00000166167	es105	NA	NA	bushmanlab
HGNC:1148	BUB1	ENSG00000169679	es105	NA	NA	bushmanlab
HGNC:1149	BUB1B	ENSG00000156970	es105	NA	NA	bushmanlab
HGNC:1157	BYSL	ENSG00000112578	es105	NA	NA	bushmanlab
HGNC:44654	C15orf65	ENSG00000261652	es105	NA	NA	bushmanlab
HGNC:29062	C2CD5	ENSG00000111731	es105	NA	NA	bushmanlab
HGNC:1319	C3AR1	ENSG00000171860	es105	NA	NA	bushmanlab
HGNC:1391	CACNA1D	ENSG00000157388	es105	NA	NA	bushmanlab
HGNC:30825	CADM4	ENSG00000105767	es105	NA	NA	bushmanlab
HGNC:16018	CADPS2	ENSG00000081803	es105	NA	NA	bushmanlab
HGNC:21622	CAGE1	ENSG00000164304	es105	NA	NA	bushmanlab
HGNC:1437	CALCA	ENSG00000110680	es105	NA	NA	bushmanlab
HGNC:1440	CALCR	ENSG00000004948	es105	NA	NA	bushmanlab
HGNC:1455	CALR	ENSG00000179218	es105	NA	NA	bushmanlab
HGNC:1461	CAMK2B	ENSG00000058404	es105	NA	NA	bushmanlab
HGNC:1462	CAMK2D	ENSG00000145349	es105	NA	NA	bushmanlab
HGNC:1470	CAMKK2	ENSG00000110931	es105	NA	NA	bushmanlab
HGNC:18806	CAMTA1	ENSG00000171735	es105	NA	NA	bushmanlab
HGNC:19721	CANT1	ENSG00000171302	es105	NA	NA	bushmanlab
HGNC:1474	CAPG	ENSG00000042493	es105	NA	NA	bushmanlab
HGNC:16422	CARD10	ENSG00000100065	es105	NA	NA	bushmanlab
HGNC:16393	CARD11	ENSG00000198286	es105	NA	NA	bushmanlab
HGNC:17057	CARD8	ENSG00000105483	es105	NA	NA	bushmanlab
HGNC:1493	CARS1	ENSG00000110619	es105	NA	NA	bushmanlab
HGNC:24323	CARTPT	ENSG00000164326	es105	NA	NA	bushmanlab
HGNC:17040	CASC3	ENSG00000108349	es105	NA	NA	bushmanlab
HGNC:1499	CASP1	ENSG00000137752	es105	NA	NA	bushmanlab
HGNC:1504	CASP3	ENSG00000164305	es105	NA	NA	bushmanlab
HGNC:1508	CASP7	ENSG00000165806	es105	NA	NA	bushmanlab
HGNC:1509	CASP8	ENSG00000064012	es105	NA	NA	bushmanlab
HGNC:1510	CASP8AP2	ENSG00000118412	es105	NA	NA	bushmanlab
HGNC:1511	CASP9	ENSG00000132906	es105	NA	NA	bushmanlab
HGNC:1514	CASR	ENSG00000036828	es105	NA	NA	bushmanlab
HGNC:26002	CASZ1	ENSG00000130940	es105	NA	NA	bushmanlab
HGNC:1527	CAV1	ENSG00000105974	es105	NA	NA	bushmanlab
HGNC:9400	CAVIN3	ENSG00000170955	es105	NA	NA	bushmanlab
HGNC:1537	CBFA2T3	ENSG00000129993	es105	NA	NA	bushmanlab
HGNC:1539	CBFB	ENSG00000067955	es105	NA	NA	bushmanlab
HGNC:1541	CBL	ENSG00000110395	es105	NA	NA	bushmanlab
HGNC:1542	CBLB	ENSG00000114423	es105	NA	NA	bushmanlab
HGNC:15961	CBLC	ENSG00000142273	es105	NA	NA	bushmanlab
HGNC:1554	CBX4	ENSG00000141582	es105	NA	NA	bushmanlab
HGNC:1557	CBX7	ENSG00000100307	es105	NA	NA	bushmanlab
HGNC:23360	CCAR2	ENSG00000158941	es105	NA	NA	bushmanlab
HGNC:18782	CCDC6	ENSG00000108091	es105	NA	NA	bushmanlab
HGNC:10634	CCL7	ENSG00000108688	es105	NA	NA	bushmanlab
HGNC:2654	CCN1	ENSG00000142871	es105	NA	NA	bushmanlab
HGNC:2500	CCN2	ENSG00000118523	es105	NA	NA	bushmanlab
HGNC:7885	CCN3	ENSG00000136999	es105	NA	NA	bushmanlab
HGNC:12770	CCN5	ENSG00000064205	es105	NA	NA	bushmanlab
HGNC:12771	CCN6	ENSG00000112761	es105	NA	NA	bushmanlab
HGNC:1577	CCNA1	ENSG00000133101	es105	NA	NA	bushmanlab
HGNC:1578	CCNA2	ENSG00000145386	es105	NA	NA	bushmanlab
HGNC:1579	CCNB1	ENSG00000134057	es105	NA	NA	bushmanlab
HGNC:19437	CCNB1IP1	ENSG00000100814	es105	NA	NA	bushmanlab
HGNC:1581	CCNC	ENSG00000112237	es105	NA	NA	bushmanlab
HGNC:1582	CCND1	ENSG00000110092	es105	NA	NA	bushmanlab
HGNC:1583	CCND2	ENSG00000118971	es105	NA	NA	bushmanlab
HGNC:49398	CCND2-AS1	ENSG00000255920	latest	NA	NA	bushmanlab
HGNC:1585	CCND3	ENSG00000112576	es105	NA	NA	bushmanlab
HGNC:1589	CCNE1	ENSG00000105173	es105	NA	NA	bushmanlab
HGNC:1591	CCNF	ENSG00000162063	es105	NA	NA	bushmanlab
HGNC:1592	CCNG1	ENSG00000113328	es105	NA	NA	bushmanlab
HGNC:1594	CCNH	ENSG00000134480	es105	NA	NA	bushmanlab
HGNC:1599	CCNT1	ENSG00000129315	es105	NA	NA	bushmanlab
HGNC:1602	CCR1	ENSG00000163823	es105	NA	NA	bushmanlab
HGNC:1603	CCR2	ENSG00000121807	es105	NA	NA	bushmanlab
HGNC:1605	CCR4	ENSG00000183813	es105	NA	NA	bushmanlab
HGNC:1608	CCR7	ENSG00000126353	es105	NA	NA	bushmanlab
HGNC:1610	CCR9	ENSG00000173585	es105	NA	NA	bushmanlab
HGNC:21685	CD109	ENSG00000156535	es105	NA	NA	bushmanlab
HGNC:1630	CD151	ENSG00000177697	es105	NA	NA	bushmanlab
HGNC:7203	CD200	ENSG00000091972	es105	NA	NA	bushmanlab
HGNC:1641	CD209	ENSG00000090659	es105	NA	NA	bushmanlab
HGNC:18219	CD248	ENSG00000174807	es105	NA	NA	bushmanlab
HGNC:17635	CD274	ENSG00000120217	es105	NA	NA	bushmanlab
HGNC:1653	CD28	ENSG00000178562	es105	NA	NA	bushmanlab
HGNC:14258	CD2AP	ENSG00000198087	es105	NA	NA	bushmanlab
HGNC:1667	CD38	ENSG00000004468	es105	NA	NA	bushmanlab
HGNC:1681	CD44	ENSG00000026508	es105	NA	NA	bushmanlab
HGNC:6953	CD46	ENSG00000117335	es105	NA	NA	bushmanlab
HGNC:1804	CD52	ENSG00000169442	es105	NA	NA	bushmanlab
HGNC:1686	CD53	ENSG00000143119	es105	NA	NA	bushmanlab
HGNC:2665	CD55	ENSG00000196352	es105	NA	NA	bushmanlab
HGNC:1689	CD59	ENSG00000085063	es105	NA	NA	bushmanlab
HGNC:1691	CD6	ENSG00000013725	es105	NA	NA	bushmanlab
HGNC:1694	CD69	ENSG00000110848	es105	NA	NA	bushmanlab
HGNC:1697	CD74	ENSG00000019582	es105	NA	NA	bushmanlab
HGNC:1698	CD79A	ENSG00000105369	es105	NA	NA	bushmanlab
HGNC:1699	CD79B	ENSG00000007312	es105	NA	NA	bushmanlab
HGNC:6210	CD82	ENSG00000085117	es105	NA	NA	bushmanlab
HGNC:1709	CD9	ENSG00000010278	es105	NA	NA	bushmanlab
HGNC:1712	CDA	ENSG00000158825	es105	NA	NA	bushmanlab
HGNC:1723	CDC20	ENSG00000117399	es105	NA	NA	bushmanlab
HGNC:1725	CDC25A	ENSG00000164045	es105	NA	NA	bushmanlab
HGNC:1726	CDC25B	ENSG00000101224	es105	NA	NA	bushmanlab
HGNC:1727	CDC25C	ENSG00000158402	es105	NA	NA	bushmanlab
HGNC:1728	CDC27	ENSG00000004897	es105	NA	NA	bushmanlab
HGNC:1734	CDC34	ENSG00000099804	es105	NA	NA	bushmanlab
HGNC:1736	CDC42	ENSG00000070831	es105	NA	NA	bushmanlab
HGNC:17014	CDC42EP1	ENSG00000128283	es105	NA	NA	bushmanlab
HGNC:1744	CDC6	ENSG00000094804	es105	NA	NA	bushmanlab
HGNC:16783	CDC73	ENSG00000134371	es105	NA	NA	bushmanlab
HGNC:24357	CDCP1	ENSG00000163814	es105	NA	NA	bushmanlab
HGNC:1748	CDH1	ENSG00000039068	es105	NA	NA	bushmanlab
HGNC:1749	CDH10	ENSG00000040731	es105	NA	NA	bushmanlab
HGNC:1750	CDH11	ENSG00000140937	es105	NA	NA	bushmanlab
HGNC:1753	CDH13	ENSG00000140945	es105	NA	NA	bushmanlab
HGNC:1756	CDH17	ENSG00000079112	es105	NA	NA	bushmanlab
HGNC:1760	CDH20	ENSG00000101542	es105	NA	NA	bushmanlab
HGNC:1762	CDH3	ENSG00000062038	es105	NA	NA	bushmanlab
HGNC:1722	CDK1	ENSG00000170312	es105	NA	NA	bushmanlab
