ensembl_gene_symbol	ensembl_gene_id	hgnc_symbol	hgnc_id	refseq_gene_symbol	ncbi_gene_id	oncogene	tsgene
ALOX12	ENSG00000108839.12	ALOX12	HGNC:429	ALOX12	239	FALSE	FALSE
ALOX12B	ENSG00000179477.11	ALOX12B	HGNC:430	ALOX12B	242	TRUE	TRUE
AMBRA1	ENSG00000110497.15	AMBRA1	HGNC:25990	AMBRA1	55626	FALSE	TRUE
AMER1	ENSG00000184675.11	AMER1	HGNC:26837	AMER1	139285	FALSE	TRUE
ANK1	ENSG00000029534.21	ANK1	HGNC:492	ANK1	286	FALSE	FALSE
ANKRD11	ENSG00000167522.17	ANKRD11	HGNC:21316	ANKRD11	29123	FALSE	TRUE
ANKRD26	ENSG00000107890.17	ANKRD26	HGNC:29186	ANKRD26	22852	FALSE	FALSE
ANLN	ENSG00000011426.11	ANLN	HGNC:14082	ANLN	54443	FALSE	FALSE
APC	ENSG00000134982.17	APC	HGNC:583	APC	324	FALSE	TRUE
APLNR	ENSG00000134817.12	APLNR	HGNC:339	APLNR	187	TRUE	TRUE
APOB	ENSG00000084674.15	APOB	HGNC:603	APOB	338	FALSE	FALSE
APOBEC3B	ENSG00000179750.16	APOBEC3B	HGNC:17352	APOBEC3B	9582	TRUE	TRUE
AR	ENSG00000169083.18	AR	HGNC:644	AR	367	TRUE	FALSE
ARAF	ENSG00000078061.14	ARAF	HGNC:646	ARAF	369	TRUE	FALSE
AREG	ENSG00000109321.11	AREG	HGNC:651	AREG	374	FALSE	FALSE
ARFRP1	ENSG00000101246.20	ARFRP1	HGNC:662	ARFRP1	10139	NA	NA
ARHGAP26	ENSG00000145819.18	ARHGAP26	HGNC:17073	ARHGAP26	23092	FALSE	TRUE
ARHGAP35	ENSG00000160007.19	ARHGAP35	HGNC:4591	ARHGAP35	2909	TRUE	TRUE
ARHGAP5	ENSG00000100852.14	ARHGAP5	HGNC:675	ARHGAP5	394	TRUE	FALSE
ARHGEF10	ENSG00000104728.16	ARHGEF10	HGNC:14103	ARHGEF10	9639	FALSE	TRUE
ARHGEF10L	ENSG00000074964.17	ARHGEF10L	HGNC:25540	ARHGEF10L	55160	FALSE	TRUE
ARHGEF12	ENSG00000196914.9	ARHGEF12	HGNC:14193	ARHGEF12	23365	TRUE	TRUE
ARHGEF28	ENSG00000214944.10	ARHGEF28	HGNC:30322	ARHGEF28	64283	TRUE	FALSE
ARID1A	ENSG00000117713.21	ARID1A	HGNC:11110	ARID1A	8289	FALSE	TRUE
ARID1B	ENSG00000049618.24	ARID1B	HGNC:18040	ARID1B	57492	FALSE	TRUE
ARID2	ENSG00000189079.17	ARID2	HGNC:18037	ARID2	196528	FALSE	TRUE
ARID3A	ENSG00000116017.11	ARID3A	HGNC:3031	ARID3A	1820	FALSE	TRUE
ARID3B	ENSG00000179361.18	ARID3B	HGNC:14350	ARID3B	10620	TRUE	FALSE
ARID3C	ENSG00000205143.4	ARID3C	HGNC:21209	ARID3C	138715	FALSE	FALSE
ARID4A	ENSG00000032219.19	ARID4A	HGNC:9885	ARID4A	5926	FALSE	TRUE
ARID4B	ENSG00000054267.22	ARID4B	HGNC:15550	ARID4B	51742	FALSE	TRUE
ARID5A	ENSG00000196843.17	ARID5A	HGNC:17361	ARID5A	10865	FALSE	FALSE
ARID5B	ENSG00000150347.17	ARID5B	HGNC:17362	ARID5B	84159	FALSE	TRUE
ARMC5	ENSG00000140691.18	ARMC5	HGNC:25781	ARMC5	79798	NA	NA
ARNT	ENSG00000143437.21	ARNT	HGNC:700	ARNT	405	TRUE	TRUE
ASCL1	ENSG00000139352.4	ASCL1	HGNC:738	ASCL1	429	TRUE	FALSE
ASNS	ENSG00000070669.17	ASNS	HGNC:753	ASNS	440	NA	NA
ASPM	ENSG00000066279.19	ASPM	HGNC:19048	ASPM	259266	FALSE	FALSE
ASPSCR1	ENSG00000169696.16	ASPSCR1	HGNC:13825	ASPSCR1	79058	FALSE	FALSE
ASXL1	ENSG00000171456.21	ASXL1	HGNC:18318	ASXL1	171023	FALSE	TRUE
ASXL2	ENSG00000143970.18	ASXL2	HGNC:23805	ASXL2	55252	FALSE	TRUE
ATF1	ENSG00000123268.9	ATF1	HGNC:783	ATF1	466	TRUE	FALSE
ATF7IP	ENSG00000171681.13	ATF7IP	HGNC:20092	ATF7IP	55729	FALSE	FALSE
ATG7	ENSG00000197548.13	ATG7	HGNC:16935	ATG7	10533	FALSE	FALSE
ATIC	ENSG00000138363.15	ATIC	HGNC:794	ATIC	471	FALSE	FALSE
ATM	ENSG00000149311.20	ATM	HGNC:795	ATM	472	FALSE	TRUE
ATP1A1	ENSG00000163399.16	ATP1A1	HGNC:799	ATP1A1	476	TRUE	TRUE
ATP1B1	ENSG00000143153.14	ATP1B1	HGNC:804	ATP1B1	481	NA	NA
ATP2B3	ENSG00000067842.18	ATP2B3	HGNC:816	ATP2B3	492	FALSE	TRUE
ATP6AP1	ENSG00000071553.18	ATP6AP1	HGNC:868	ATP6AP1	537	FALSE	FALSE
ATP6V1B2	ENSG00000147416.11	ATP6V1B2	HGNC:854	ATP6V1B2	526	FALSE	TRUE
ATR	ENSG00000175054.16	ATR	HGNC:882	ATR	545	FALSE	TRUE
ATRIP	ENSG00000164053.22	ATRIP	HGNC:33499	ATRIP	84126	FALSE	TRUE
ATRX	ENSG00000085224.23	ATRX	HGNC:886	ATRX	546	FALSE	TRUE
ATXN2	ENSG00000204842.18	ATXN2	HGNC:10555	ATXN2	6311	FALSE	TRUE
ATXN7	ENSG00000163635.20	ATXN7	HGNC:10560	ATXN7	6314	TRUE	FALSE
AURKA	ENSG00000087586.18	AURKA	HGNC:11393	AURKA	6790	TRUE	FALSE
AURKB	ENSG00000178999.13	AURKB	HGNC:11390	AURKB	9212	TRUE	FALSE
AUTS2	ENSG00000158321.18	AUTS2	HGNC:14262	AUTS2	26053	NA	NA
AXIN1	ENSG00000103126.15	AXIN1	HGNC:903	AXIN1	8312	FALSE	TRUE
AXIN2	ENSG00000168646.14	AXIN2	HGNC:904	AXIN2	8313	FALSE	TRUE
AXL	ENSG00000167601.12	AXL	HGNC:905	AXL	558	TRUE	FALSE
B2M	ENSG00000166710.22	B2M	HGNC:914	B2M	567	FALSE	TRUE
BAALC	ENSG00000164929.17	BAALC	HGNC:14333	BAALC	79870	TRUE	FALSE
BABAM1	ENSG00000105393.16	BABAM1	HGNC:25008	BABAM1	29086	FALSE	FALSE
BACH2	ENSG00000112182.15	BACH2	HGNC:14078	BACH2	60468	FALSE	TRUE
BAG4	ENSG00000156735.11	BAG4	HGNC:940	BAG4	9530	FALSE	FALSE
BAIAP2L1	ENSG00000006453.14	BAIAP2L1	HGNC:21649	BAIAP2L1	55971	NA	NA
BAP1	ENSG00000163930.10	BAP1	HGNC:950	BAP1	8314	FALSE	TRUE
BARD1	ENSG00000138376.11	BARD1	HGNC:952	BARD1	580	FALSE	TRUE
BAX	ENSG00000087088.21	BAX	HGNC:959	BAX	581	TRUE	TRUE
BAZ1A	ENSG00000198604.11	BAZ1A	HGNC:960	BAZ1A	11177	FALSE	TRUE
BBC3	ENSG00000105327.18	BBC3	HGNC:17868	BBC3	27113	FALSE	TRUE
BCAN	ENSG00000132692.19	BCAN	HGNC:23059	BCAN	63827	NA	NA
BCL10	ENSG00000142867.14	BCL10	HGNC:989	BCL10	8915	FALSE	TRUE
BCL11A	ENSG00000119866.22	BCL11A	HGNC:13221	BCL11A	53335	TRUE	FALSE
BCL11B	ENSG00000127152.18	BCL11B	HGNC:13222	BCL11B	64919	FALSE	TRUE
BCL2	ENSG00000171791.14	BCL2	HGNC:990	BCL2	596	TRUE	FALSE
BCL2L1	ENSG00000171552.14	BCL2L1	HGNC:992	BCL2L1	598	FALSE	FALSE
BCL2L11	ENSG00000153094.24	BCL2L11	HGNC:994	BCL2L11	10018	FALSE	TRUE
BCL2L12	ENSG00000126453.10	BCL2L12	HGNC:13787	BCL2L12	83596	TRUE	FALSE
BCL2L2	ENSG00000129473.11	BCL2L2	HGNC:995	BCL2L2	599	NA	NA
BCL3	ENSG00000069399.15	BCL3	HGNC:998	BCL3	602	TRUE	FALSE
BCL6	ENSG00000113916.18	BCL6	HGNC:1001	BCL6	604	TRUE	FALSE
BCL7A	ENSG00000110987.9	BCL7A	HGNC:1004	BCL7A	605	FALSE	TRUE
BCL9	ENSG00000116128.12	BCL9	HGNC:1008	BCL9	607	TRUE	FALSE
BCL9L	ENSG00000186174.13	BCL9L	HGNC:23688	BCL9L	283149	TRUE	TRUE
BCLAF1	ENSG00000029363.17	BCLAF1	HGNC:16863	BCLAF1	9774	FALSE	FALSE
BCOR	ENSG00000183337.18	BCOR	HGNC:20893	BCOR	54880	FALSE	TRUE
BCORL1	ENSG00000085185.16	BCORL1	HGNC:25657	BCORL1	63035	FALSE	TRUE
BCR	ENSG00000186716.21	BCR	HGNC:1014	BCR	613	TRUE	FALSE
BEND2	ENSG00000177324.14	BEND2	HGNC:28509	BEND2	139105	NA	NA
BICC1	ENSG00000122870.12	BICC1	HGNC:19351	BICC1	80114	NA	NA
BIRC3	ENSG00000023445.16	BIRC3	HGNC:591	BIRC3	330	FALSE	FALSE
BIRC6	ENSG00000115760.15	BIRC6	HGNC:13516	BIRC6	57448	TRUE	FALSE
BLK	ENSG00000136573.14	BLK	HGNC:1057	BLK	640	FALSE	FALSE
BLM	ENSG00000197299.13	BLM	HGNC:1058	BLM	641	FALSE	TRUE
BMI1	ENSG00000168283.14	BMI1	HGNC:1066	BMI1	648	TRUE	FALSE
BMP5	ENSG00000112175.8	BMP5	HGNC:1072	BMP5	653	FALSE	FALSE
BMPR1A	ENSG00000107779.14	BMPR1A	HGNC:1076	BMPR1A	657	FALSE	TRUE
BMPR2	ENSG00000204217.16	BMPR2	HGNC:1078	BMPR2	659	FALSE	TRUE
BRAF	ENSG00000157764.14	BRAF	HGNC:1097	BRAF	673	TRUE	FALSE
BRCA1	ENSG00000012048.23	BRCA1	HGNC:1100	BRCA1	672	FALSE	TRUE
BRCA2	ENSG00000139618.17	BRCA2	HGNC:1101	BRCA2	675	FALSE	TRUE
BRD3	ENSG00000169925.17	BRD3	HGNC:1104	BRD3	8019	TRUE	FALSE
BRD4	ENSG00000141867.19	BRD4	HGNC:13575	BRD4	23476	TRUE	FALSE
BRD7	ENSG00000166164.16	BRD7	HGNC:14310	BRD7	29117	FALSE	TRUE
BRIP1	ENSG00000136492.10	BRIP1	HGNC:20473	BRIP1	83990	FALSE	TRUE
BRSK1	ENSG00000160469.17	BRSK1	HGNC:18994	BRSK1	84446	FALSE	TRUE
BTBD18	ENSG00000233436.8	BTBD18	HGNC:37214	BTBD18	643376	NA	NA
BTG1	ENSG00000133639.6	BTG1	HGNC:1130	BTG1	694	FALSE	TRUE
BTG2	ENSG00000159388.6	BTG2	HGNC:1131	BTG2	7832	FALSE	TRUE
BTK	ENSG00000010671.17	BTK	HGNC:1133	BTK	695	TRUE	FALSE
BUB1	ENSG00000169679.15	BUB1	HGNC:1148	BUB1	699	FALSE	FALSE
BUB1B	ENSG00000156970.13	BUB1B	HGNC:1149	BUB1B	701	FALSE	TRUE
BUB3	ENSG00000154473.18	BUB3	HGNC:1151	BUB3	9184	NA	NA
C15orf65	ENSG00000261652.3	PIERCE2	HGNC:44654	PIERCE2	145788	FALSE	FALSE
C21orf91	ENSG00000154642.11	C21orf91	HGNC:16459	C21orf91	54149	FALSE	TRUE
C8orf34	ENSG00000165084.16	C8orf34	HGNC:30905	C8orf34	116328	NA	NA
CACNA1D	ENSG00000157388.20	CACNA1D	HGNC:1391	CACNA1D	776	TRUE	FALSE
CAD	ENSG00000084774.14	CAD	HGNC:1424	CAD	790	TRUE	FALSE
CADM2	ENSG00000175161.14	CADM2	HGNC:29849	CADM2	253559	FALSE	FALSE
CALR	ENSG00000179218.15	CALR	HGNC:1455	CALR	811	TRUE	FALSE
CAMTA1	ENSG00000171735.19	CAMTA1	HGNC:18806	CAMTA1	23261	FALSE	TRUE
CANT1	ENSG00000171302.17	CANT1	HGNC:19721	CANT1	124583	TRUE	FALSE
CARD11	ENSG00000198286.10	CARD11	HGNC:16393	CARD11	84433	TRUE	FALSE
CARM1	ENSG00000142453.12	CARM1	HGNC:23393	CARM1	10498	FALSE	FALSE
CARS1	ENSG00000110619.18	CARS1	HGNC:1493	CARS1	833	FALSE	TRUE
CASP3	ENSG00000164305.19	CASP3	HGNC:1504	CASP3	836	FALSE	TRUE
CASP8	ENSG00000064012.23	CASP8	HGNC:1509	CASP8	841	FALSE	TRUE
CASP9	ENSG00000132906.18	CASP9	HGNC:1511	CASP9	842	FALSE	TRUE
CASR	ENSG00000036828.17	CASR	HGNC:1514	CASR	846	TRUE	TRUE
CASZ1	ENSG00000130940.15	CASZ1	HGNC:26002	CASZ1	54897	FALSE	TRUE
CBFA2T3	ENSG00000129993.15	CBFA2T3	HGNC:1537	CBFA2T3	863	FALSE	TRUE
CBFB	ENSG00000067955.15	CBFB	HGNC:1539	CBFB	865	FALSE	TRUE
CBL	ENSG00000110395.7	CBL	HGNC:1541	CBL	867	FALSE	TRUE
CBLB	ENSG00000114423.23	CBLB	HGNC:1542	CBLB	868	TRUE	TRUE
CBLC	ENSG00000142273.13	CBLC	HGNC:15961	CBLC	23624	TRUE	TRUE
CCDC6	ENSG00000108091.11	CCDC6	HGNC:18782	CCDC6	8030	FALSE	TRUE
CCDC88C	ENSG00000015133.20	CCDC88C	HGNC:19967	CCDC88C	440193	FALSE	FALSE
CCN2	ENSG00000118523.6	CCN2	HGNC:2500	CCN2	1490	TRUE	TRUE
CCN6	ENSG00000112761.22	CCN6	HGNC:12771	CCN6	8838	FALSE	TRUE
CCNB1IP1	ENSG00000100814.18	CCNB1IP1	HGNC:19437	CCNB1IP1	57820	FALSE	TRUE
CCNB3	ENSG00000147082.18	CCNB3	HGNC:18709	CCNB3	85417	TRUE	FALSE
CCNC	ENSG00000112237.13	CCNC	HGNC:1581	CCNC	892	FALSE	TRUE
CCND1	ENSG00000110092.4	CCND1	HGNC:1582	CCND1	595	TRUE	FALSE
CCND2	ENSG00000118971.9	CCND2	HGNC:1583	CCND2	894	TRUE	FALSE
CCND3	ENSG00000112576.13	CCND3	HGNC:1585	CCND3	896	TRUE	FALSE
CCNE1	ENSG00000105173.14	CCNE1	HGNC:1589	CCNE1	898	TRUE	FALSE
CCNQ	ENSG00000262919.8	CCNQ	HGNC:28434	CCNQ	92002	FALSE	TRUE
CCR4	ENSG00000183813.7	CCR4	HGNC:1605	CCR4	1233	TRUE	FALSE
CCR7	ENSG00000126353.3	CCR7	HGNC:1608	CCR7	1236	TRUE	FALSE
CCSER1	ENSG00000184305.16	CCSER1	HGNC:29349	CCSER1	401145	FALSE	TRUE
CD19	ENSG00000177455.15	CD19	HGNC:1633	CD19	930	TRUE	FALSE
CD209	ENSG00000090659.18	CD209	HGNC:1641	CD209	30835	FALSE	FALSE
CD22	ENSG00000012124.17	CD22	HGNC:1643	CD22	933	FALSE	FALSE
CD274	ENSG00000120217.14	CD274	HGNC:17635	CD274	29126	TRUE	FALSE
CD276	ENSG00000103855.18	CD276	HGNC:19137	CD276	80381	TRUE	FALSE
CD28	ENSG00000178562.18	CD28	HGNC:1653	CD28	940	TRUE	FALSE
CD44	ENSG00000026508.21	CD44	HGNC:1681	CD44	960	TRUE	FALSE
CD58	ENSG00000116815.16	CD58	HGNC:1688	CD58	965	FALSE	TRUE
CD70	ENSG00000125726.11	CD70	HGNC:11937	CD70	970	FALSE	TRUE
CD74	ENSG00000019582.17	CD74	HGNC:1697	CD74	972	TRUE	FALSE
CD79A	ENSG00000105369.10	CD79A	HGNC:1698	CD79A	973	TRUE	FALSE
CD79B	ENSG00000007312.13	CD79B	HGNC:1699	CD79B	974	TRUE	FALSE
CDC20	ENSG00000117399.14	CDC20	HGNC:1723	CDC20	991	TRUE	FALSE
CDC25A	ENSG00000164045.12	CDC25A	HGNC:1725	CDC25A	993	TRUE	FALSE
CDC25C	ENSG00000158402.21	CDC25C	HGNC:1727	CDC25C	995	FALSE	FALSE
CDC27	ENSG00000004897.12	CDC27	HGNC:1728	CDC27	996	FALSE	FALSE
CDC42	ENSG00000070831.17	CDC42	HGNC:1736	CDC42	998	TRUE	FALSE
CDC73	ENSG00000134371.14	CDC73	HGNC:16783	CDC73	79577	FALSE	TRUE
CDH1	ENSG00000039068.20	CDH1	HGNC:1748	CDH1	999	FALSE	TRUE
CDH10	ENSG00000040731.10	CDH10	HGNC:1749	CDH10	1008	FALSE	TRUE
CDH11	ENSG00000140937.14	CDH11	HGNC:1750	CDH11	1009	TRUE	FALSE
CDH17	ENSG00000079112.10	CDH17	HGNC:1756	CDH17	1015	TRUE	FALSE
CDH2	ENSG00000170558.10	CDH2	HGNC:1759	CDH2	1000	TRUE	FALSE
CDH3	ENSG00000062038.15	CDH3	HGNC:1762	CDH3	1001	TRUE	TRUE
CDH4	ENSG00000179242.16	CDH4	HGNC:1763	CDH4	1002	TRUE	FALSE
CDK12	ENSG00000167258.15	CDK12	HGNC:24224	CDK12	51755	FALSE	TRUE
CDK2	ENSG00000123374.11	CDK2	HGNC:1771	CDK2	1017	FALSE	FALSE
CDK4	ENSG00000135446.17	CDK4	HGNC:1773	CDK4	1019	TRUE	FALSE
CDK5	ENSG00000164885.13	CDK5	HGNC:1774	CDK5	1020	FALSE	TRUE
CDK5RAP2	ENSG00000136861.19	CDK5RAP2	HGNC:18672	CDK5RAP2	55755	NA	NA
CDK6	ENSG00000105810.10	CDK6	HGNC:1777	CDK6	1021	TRUE	FALSE
CDK8	ENSG00000132964.12	CDK8	HGNC:1779	CDK8	1024	TRUE	FALSE
CDKN1A	ENSG00000124762.14	CDKN1A	HGNC:1784	CDKN1A	1026	FALSE	TRUE
CDKN1B	ENSG00000111276.12	CDKN1B	HGNC:1785	CDKN1B	1027	FALSE	TRUE
CDKN1C	ENSG00000129757.15	CDKN1C	HGNC:1786	CDKN1C	1028	TRUE	TRUE
CDKN2A	ENSG00000147889.18	CDKN2A	HGNC:1787	CDKN2A	1029	FALSE	TRUE
CDKN2B	ENSG00000147883.12	CDKN2B	HGNC:1788	CDKN2B	1030	FALSE	TRUE
CDKN2C	ENSG00000123080.12	CDKN2C	HGNC:1789	CDKN2C	1031	FALSE	TRUE
CDKN2D	ENSG00000129355.7	CDKN2D	HGNC:1790	CDKN2D	1032	NA	NA
CDX1	ENSG00000113722.18	CDX1	HGNC:1805	CDX1	1044	NA	NA
CDX2	ENSG00000165556.10	CDX2	HGNC:1806	CDX2	1045	TRUE	TRUE
CEBPA	ENSG00000245848.3	CEBPA	HGNC:1833	CEBPA	1050	FALSE	TRUE
CEBPE	ENSG00000092067.6	CEBPE	HGNC:1836	CEBPE	1053	FALSE	FALSE
CENPA	ENSG00000115163.15	CENPA	HGNC:1851	CENPA	1058	FALSE	FALSE
CENPF	ENSG00000117724.14	CENPF	HGNC:1857	CENPF	1063	TRUE	FALSE
CENPJ	ENSG00000151849.16	CENPJ	HGNC:17272	CENPJ	55835	FALSE	FALSE
CEP170B	ENSG00000099814.17	CEP170B	HGNC:20362	CEP170B	283638	NA	NA
CEP43	ENSG00000213066.13	CEP43	HGNC:17012	CEP43	11116	FALSE	FALSE
CEP57	ENSG00000166037.11	CEP57	HGNC:30794	CEP57	9702	NA	NA
CEP85L	ENSG00000111860.14	CEP85L	HGNC:21638	CEP85L	387119	NA	NA
CEP89	ENSG00000121289.18	CEP89	HGNC:25907	CEP89	84902	FALSE	FALSE
CHCHD7	ENSG00000170791.18	CHCHD7	HGNC:28314	CHCHD7	79145	FALSE	FALSE
CHD1	ENSG00000153922.11	CHD1	HGNC:1915	CHD1	1105	FALSE	TRUE
CHD2	ENSG00000173575.22	CHD2	HGNC:1917	CHD2	1106	FALSE	TRUE
CHD3	ENSG00000170004.18	CHD3	HGNC:1918	CHD3	1107	FALSE	FALSE
CHD4	ENSG00000111642.16	CHD4	HGNC:1919	CHD4	1108	TRUE	FALSE
CHD5	ENSG00000116254.18	CHD5	HGNC:16816	CHD5	26038	FALSE	TRUE
CHD7	ENSG00000171316.12	CHD7	HGNC:20626	CHD7	55636	FALSE	FALSE
CHEK1	ENSG00000149554.14	CHEK1	HGNC:1925	CHEK1	1111	FALSE	TRUE
CHEK2	ENSG00000183765.23	CHEK2	HGNC:16627	CHEK2	11200	FALSE	TRUE
CHIC2	ENSG00000109220.11	CHIC2	HGNC:1935	CHIC2	26511	FALSE	FALSE
CHST11	ENSG00000171310.11	CHST11	HGNC:17422	CHST11	50515	TRUE	FALSE
CHTF8	ENSG00000168802.14	CHTF8	HGNC:24353	CHTF8	54921	FALSE	TRUE
CIB1	ENSG00000185043.12	CIB1	HGNC:16920	CIB1	10519	FALSE	FALSE
CIC	ENSG00000079432.9	CIC	HGNC:14214	CIC	23152	FALSE	TRUE
CIITA	ENSG00000179583.20	CIITA	HGNC:7067	CIITA	4261	FALSE	TRUE
CIP2A	ENSG00000163507.15	CIP2A	HGNC:29302	CIP2A	57650	NA	NA
CITED2	ENSG00000164442.10	CITED2	HGNC:1987	CITED2	10370	FALSE	FALSE
CLCN6	ENSG00000011021.23	CLCN6	HGNC:2024	CLCN6	1185	NA	NA
CLIP1	ENSG00000130779.22	CLIP1	HGNC:10461	CLIP1	6249	FALSE	FALSE
CLP1	ENSG00000172409.7	CLP1	HGNC:16999	CLP1	10978	FALSE	FALSE
CLTC	ENSG00000141367.12	CLTC	HGNC:2092	CLTC	1213	FALSE	TRUE
CLTCL1	ENSG00000070371.16	CLTCL1	HGNC:2093	CLTCL1	8218	FALSE	FALSE
CMTR2	ENSG00000180917.18	CMTR2	HGNC:25635	CMTR2	55783	FALSE	TRUE
CNBD1	ENSG00000176571.12	CNBD1	HGNC:26663	CNBD1	168975	TRUE	FALSE
CNBP	ENSG00000169714.17	CNBP	HGNC:13164	CNBP	7555	FALSE	TRUE
CNOT3	ENSG00000088038.19	CNOT3	HGNC:7879	CNOT3	4849	FALSE	TRUE
CNOT9	ENSG00000144580.14	CNOT9	HGNC:10445	CNOT9	9125	FALSE	FALSE
CNTNAP2	ENSG00000174469.23	CNTNAP2	HGNC:13830	CNTNAP2	26047	FALSE	TRUE
CNTRL	ENSG00000119397.19	CNTRL	HGNC:1858	CNTRL	11064	FALSE	FALSE
COL11A1	ENSG00000060718.22	COL11A1	HGNC:2186	COL11A1	1301	FALSE	FALSE
COL1A1	ENSG00000108821.14	COL1A1	HGNC:2197	COL1A1	1277	TRUE	FALSE
COL1A2	ENSG00000164692.19	COL1A2	HGNC:2198	COL1A2	1278	FALSE	FALSE
