hgnc_id	gene_id	symbol	contig	start	end	strand
HGNC:40020	401934	RNF223	chr1	1070967	1074306	-
HGNC:26062	54991	C1orf159	chr1	1081823	1116089	-
NA	124903819	LOC124903819	chr1	1122903	1128984	-
NA	124903820	LOC124903820	chr1	1128684	1161940	+
HGNC:50551	254099	LINC01342	chr1	1137017	1144056	+
NA	124903818	LOC124903818	chr1	1162877	1170338	+
HGNC:31579	406984	MIR200B	chr1	1167104	1167198	+
HGNC:31578	406983	MIR200A	chr1	1167863	1167952	+
HGNC:13784	554210	MIR429	chr1	1169005	1169087	+
HGNC:41159	100506376	TTLL10-AS1	chr1	1173056	1179555	-
HGNC:26693	254173	TTLL10	chr1	1173880	1197936	+
HGNC:11914	8784	TNFRSF18	chr1	1203508	1206592	-
HGNC:11918	7293	TNFRSF4	chr1	1211340	1214153	-
HGNC:24188	51150	SDF4	chr1	1216931	1232001	-
HGNC:17978	126792	B3GALT6	chr1	1232237	1235041	+
HGNC:32308	388581	C1QTNF12	chr1	1242453	1247280	-
HGNC:19268	118424	UBE2J2	chr1	1253912	1273854	-
HGNC:10601	6339	SCNN1D	chr1	1280436	1292025	+
HGNC:16754	116983	ACAP3	chr1	1292391	1307930	-
HGNC:50009	102465434	MIR6726	chr1	1296110	1296170	-
HGNC:51881	109623456	SNORD167	chr1	1304729	1304812	-
HGNC:26914	126789	PUSL1	chr1	1308597	1311677	+
HGNC:26052	54973	INTS11	chr1	1311600	1324660	-
HGNC:50171	102465435	MIR6727	chr1	1312502	1312566	-
HGNC:28116	80772	CPTP	chr1	1324802	1328896	+
HGNC:15661	83756	TAS1R3	chr1	1331280	1335314	+
HGNC:3084	1855	DVL1	chr1	1335278	1349418	-
HGNC:50046	102466740	MIR6808	chr1	1339650	1339708	-
HGNC:7542	54587	MXRA8	chr1	1352689	1363541	-
HGNC:24114	54998	AURKAIP1	chr1	1373736	1375207	-
HGNC:45256	107075246	NDUFB4P8	chr1	1378640	1379084	+
HGNC:20570	81669	CCNL2	chr1	1385711	1399335	-
HGNC:27125	148413	MRPL20-AS1	chr1	1399530	1402046	+
HGNC:14478	55052	MRPL20	chr1	1401909	1407293	-
HGNC:46673	107074708	RN7SL657P	chr1	1405460	1405752	-
HGNC:54814	116435301	MRPL20-DT	chr1	1408348	1410684	+
HGNC:42950	441869	ANKRD65	chr1	1418420	1421276	-
HGNC:55844	105378585	ANKRD65-AS1	chr1	1420166	1423287	+
HGNC:37099	643965	TMEM88B	chr1	1425871	1430255	+
HGNC:52560	102724312	LINC01770	chr1	1430157	1434573	-
NA	107985729	LOC107985729	chr1	1433233	1435549	+
HGNC:30910	64856	VWA1	chr1	1435690	1442882	+
HGNC:32151	219293	ATAD3C	chr1	1449689	1470163	+
HGNC:24007	83858	ATAD3B	chr1	1471765	1509466	+
HGNC:25567	55210	ATAD3A	chr1	1512162	1534685	+
HGNC:25186	339453	TMEM240	chr1	1534778	1540624	-
HGNC:25016	29101	SSU72	chr1	1541673	1574863	-
HGNC:42951	643988	FNDC10	chr1	1598012	1600135	-
NA	105378586	LOC105378586	chr1	1599433	1607210	+
HGNC:30577	142678	MIB2	chr1	1613731	1630605	+
NA	124903821	LOC124903821	chr1	1624757	1631786	-
HGNC:7171	8510	MMP23B	chr1	1632173	1634654	+
HGNC:1729	984	CDK11B	chr1	1635225	1659004	-
HGNC:33941	728661	SLC35E2B	chr1	1661478	1692795	-
NA	100288379	LOC100288379	chr1	1673283	1674435	+
HGNC:7170	8511	MMP23A	chr1	1699939	1701808	+
HGNC:1730	728642	CDK11A	chr1	1702379	1724357	-
HGNC:20863	9906	SLC35E2A	chr1	1727385	1746070	-
NA	100129381	LOC100129381	chr1	1735819	1737291	+
NA	112268218	LOC112268218	chr1	1745819	1751742	+
HGNC:29831	65220	NADK	chr1	1751232	1780514	-
HGNC:4396	2782	GNB1	chr1	1785286	1891087	-
HGNC:55772	105378949	GNB1-DT	chr1	1891180	1892726	+
NA	124903822	LOC124903822	chr1	1906002	1909126	-
HGNC:24193	163688	CALML6	chr1	1915260	1917296	+
HGNC:27916	339456	TMEM52	chr1	1917591	1919279	-
HGNC:29368	85452	CFAP74	chr1	1921957	2003786	-
NA	107984872	LOC107984872	chr1	1957368	1959030	+
NA	105378589	LOC105378589	chr1	2013198	2018088	-
HGNC:4084	2563	GABRD	chr1	2019345	2030758	+
NA	105378590	LOC105378590	chr1	2035766	2047447	-
HGNC:9412	5590	PRKCZ	chr1	2048504	2185395	+
HGNC:55824	105378591	PRKCZ-DT	chr1	2049201	2050070	-
HGNC:40477	100506504	PRKCZ-AS1	chr1	2181794	2183875	-
HGNC:26428	199990	FAAP20	chr1	2184477	2212720	-
NA	112268219	LOC112268219	chr1	2189798	2192458	+
NA	105378593	LOC105378593	chr1	2207013	2209335	+
NA	124903823	LOC124903823	chr1	2212391	2220749	+
HGNC:10896	6497	SKI	chr1	2228319	2310213	+
NA	124903824	LOC124903824	chr1	2314995	2319268	+
HGNC:25852	79906	MORN1	chr1	2321253	2391554	-
NA	100129534	LOC100129534	chr1	2350414	2352661	-
HGNC:30309	11079	RER1	chr1	2391841	2405436	+
HGNC:8851	5192	PEX10	chr1	2403974	2413827	-
HGNC:29037	9651	PLCH2	chr1	2415943	2505532	+
HGNC:19366	55229	PANK4	chr1	2508537	2526596	-
HGNC:19764	388585	HES5	chr1	2528745	2530263	-
HGNC:26966	115110	TNFRSF14-AS1	chr1	2549920	2557011	-
HGNC:11912	8764	TNFRSF14	chr1	2554234	2563829	+
NA	100996583	LOC100996583	chr1	2566535	2584534	+
HGNC:28390	127281	PRXL2B	chr1	2586523	2591468	+
HGNC:14668	79258	MMEL1	chr1	2590639	2633016	-
HGNC:40695	105378597	MMEL1-AS1	chr1	2628563	2636620	+
HGNC:34297	100287898	TTC34	chr1	2636986	2801693	-
NA	105378602	LOC105378602	chr1	2701377	2702276	+
NA	105378601	LOC105378601	chr1	2762488	2763387	+
NA	112268220	LOC112268220	chr1	2763419	2767518	+
NA	107985732	LOC107985732	chr1	2764564	2765629	+
NA	105378600	LOC105378600	chr1	2766073	2766972	+
NA	105378598	LOC105378598	chr1	2767828	2784745	+
NA	107984904	LOC107984904	chr1	2771826	2772891	+
NA	105378599	LOC105378599	chr1	2773495	2774394	+
NA	124903825	LOC124903825	chr1	2814058	2817767	+
NA	124903826	LOC124903826	chr1	2814385	2816806	-
HGNC:24026	140625	ACTRT2	chr1	3021467	3022903	+
NA	124903827	LOC124903827	chr1	3055423	3075562	-
HGNC:48664	440556	PRDM16-DT	chr1	3059617	3067725	-
HGNC:14000	63976	PRDM16	chr1	3069203	3438621	+
NA	100420339	LOC100420339	chr1	3069658	3070697	+
HGNC:38370	100422968	MIR4251	chr1	3127975	3128035	+
NA	105378606	LOC105378606	chr1	3161281	3166895	-
NA	107984909	LOC107984909	chr1	3187558	3195526	+
NA	105378605	LOC105378605	chr1	3210736	3213745	-
NA	124903828	LOC124903828	chr1	3266945	3297275	+
NA	105378604	LOC105378604	chr1	3312745	3323497	-
HGNC:15515	27237	ARHGEF16	chr1	3454665	3481113	+
HGNC:3232	1953	MEGF6	chr1	3487951	3624786	-
NA	105378608	LOC105378608	chr1	3548480	3550572	+
HGNC:32806	693135	MIR551A	chr1	3560695	3560790	-
HGNC:27007	127262	TPRG1L	chr1	3625015	3630127	+
HGNC:12759	49856	WRAP73	chr1	3630770	3650103	-
HGNC:12003	7161	TP73	chr1	3652516	3736201	+
HGNC:40590	105378610	TP73-AS3	chr1	3654784	3665396	-
HGNC:29052	57212	TP73-AS1	chr1	3735984	3747373	-
HGNC:26546	148870	CCDC27	chr1	3752450	3771645	+
HGNC:44204	388588	SMIM1	chr1	3772749	3775956	+
HGNC:29207	57470	LRRC47	chr1	3778559	3796498	-
HGNC:46590	106481079	RN7SL574P	chr1	3782815	3783111	+
HGNC:24866	9731	CEP104	chr1	3812086	3857211	-
NA	124903829	LOC124903829	chr1	3849811	3851719	-
HGNC:2773	1677	DFFB	chr1	3857476	3885429	+
HGNC:27915	339448	C1orf174	chr1	3889133	3900272	-
HGNC:49449	100133612	LINC01134	chr1	3900404	3915447	+
HGNC:50563	728716	LINC01346	chr1	3940612	3952583	+
HGNC:50564	105376672	LINC01345	chr1	3947149	3948980	-
HGNC:51456	644357	EEF1DP6	chr1	4175463	4175899	-
HGNC:52567	284661	LINC01777	chr1	4412051	4424684	+
NA	105376674	LOC105376674	chr1	4432146	4443634	+
NA	124904578	LOC124904578	chr1	4552005	4556565	-
HGNC:52433	105376679	LINC01646	chr1	4571487	4583706	+
HGNC:30801	55966	AJAP1	chr1	4654609	4792534	+
HGNC:54301	105376680	LINC02781	chr1	4973391	4983958	+
NA	124904589	LOC124904589	chr1	4992630	4998716	-
NA	102724429	LOC102724429	chr1	4997369	5004349	+
HGNC:54302	105376681	LINC02782	chr1	5090580	5098548	-
NA	105376682	LOC105376682	chr1	5131856	5135311	+
NA	124904590	LOC124904590	chr1	5422642	5428379	+
NA	107984911	LOC107984911	chr1	5470329	5481317	-
NA	105376686	LOC105376686	chr1	5490842	5494629	-
NA	124900451	LOC124900451	chr1	5680952	5681026	+
NA	124903830	LOC124903830	chr1	5704311	5713958	-
HGNC:41895	100616421	MIR4689	chr1	5862672	5862741	-
HGNC:19104	261734	NPHP4	chr1	5862811	5992425	-
HGNC:6229	8514	KCNAB2	chr1	5992676	6101180	+
NA	124903831	LOC124903831	chr1	6085255	6086371	+
HGNC:16816	26038	CHD5	chr1	6101787	6180321	-
HGNC:10315	6146	RPL22	chr1	6185020	6199595	-
HGNC:41286	102724450	RNF207-AS1	chr1	6204840	6205780	-
HGNC:32947	388591	RNF207	chr1	6206119	6221299	+
HGNC:5350	23463	ICMT	chr1	6221193	6235964	-
HGNC:28620	148645	ICMT-DT	chr1	6236240	6239444	+
HGNC:26226	390992	HES3	chr1	6244179	6245578	+
HGNC:23618	387509	GPR153	chr1	6247353	6261098	-
HGNC:24157	11332	ACOT7	chr1	6264272	6393767	-
HGNC:16005	54626	HES2	chr1	6415232	6419919	-
HGNC:13281	83715	ESPN	chr1	6424776	6461370	+
HGNC:38384	100422975	MIR4252	chr1	6429834	6429896	-
HGNC:11910	8718	TNFRSF25	chr1	6460786	6466173	-
HGNC:29105	57449	PLEKHG5	chr1	6466092	6520092	-
HGNC:26265	79707	NOL9	chr1	6521347	6554513	-
HGNC:47694	106481411	RNU6-731P	chr1	6540854	6540964	+
HGNC:14448	80835	TAS1R1	chr1	6555307	6579755	+
NA	107984912	LOC107984912	chr1	6567548	6579433	-
HGNC:4930	3104	ZBTB48	chr1	6579994	6589280	+
HGNC:29041	9903	KLHL21	chr1	6590724	6602869	-
NA	107984913	LOC107984913	chr1	6603447	6613387	-
HGNC:22983	148479	PHF13	chr1	6613731	6624030	+
HGNC:20855	90326	THAP3	chr1	6624868	6635595	+
HGNC:25570	55735	DNAJC11	chr1	6634170	6701816	-
HGNC:52460	100505887	LINC01672	chr1	6724745	6730012	+
NA	124904847	LOC124904847	chr1	6752723	6752821	+
HGNC:53020	110841581	CAMTA1-DT	chr1	6783892	6784980	-
HGNC:18806	23261	CAMTA1	chr1	6785454	7769706	+
NA	124903832	LOC124903832	chr1	6828817	6852145	+
HGNC:35688	100270828	RPL37P9	chr1	6834282	6834637	-
HGNC:48307	106481604	RNU1-8P	chr1	7219360	7219524	+
NA	124900385	LOC124900385	chr1	7364394	7370270	+
HGNC:40855	102725193	CAMTA1-AS2	chr1	7382487	7389754	-
HGNC:40856	101928836	CAMTA1-AS1	chr1	7440567	7441550	-
NA	105376691	LOC105376691	chr1	7503037	7508625	+
NA	105376689	LOC105376689	chr1	7685684	7704690	-
HGNC:12644	9341	VAMP3	chr1	7771296	7781432	+
HGNC:8847	8863	PER3	chr1	7784291	7845177	+
NA	124903833	LOC124903833	chr1	7809137	7827118	-
HGNC:12636	10911	UTS2	chr1	7847612	7913249	-
HGNC:11924	3604	TNFRSF9	chr1	7915871	7940839	-
HGNC:50816	103482530	TRUND-NNN4-1	chr1	7930279	7930348	-
HGNC:16369	11315	PARK7	chr1	7961711	7985505	+
NA	124903834	LOC124903834	chr1	7999127	8006733	+
HGNC:18185	54206	ERRFI1	chr1	8011727	8026309	-
HGNC:55646	121832806	ERRFI1-DT	chr1	8026493	8127070	+
HGNC:35613	390993	RPL7AP18	chr1	8057181	8058487	-
NA	107984915	LOC107984915	chr1	8129155	8147644	-
NA	100129776	LOC100129776	chr1	8189826	8192773	+
HGNC:48306	106481952	RNU1-7P	chr1	8206434	8206597	-
HGNC:52501	102724539	LINC01714	chr1	8208672	8215210	+
NA	105376695	LOC105376695	chr1	8239958	8249007	+
NA	124903835	LOC124903835	chr1	8259371	8296449	+
HGNC:47954	106480004	RNU6-991P	chr1	8292157	8292263	-
HGNC:17939	50651	SLC45A1	chr1	8318114	8344165	+
HGNC:9965	473	RERE	chr1	8352404	8817640	-
HGNC:40501	102724552	RERE-AS1	chr1	8424645	8435016	+
HGNC:50409	106632271	SNORD128	chr1	8494800	8494913	-
NA	124900452	LOC124900452	chr1	8511795	8511919	-
HGNC:35667	100270823	RPL7P11	chr1	8750410	8751091	+
HGNC:36895	644896	RPL7P7	chr1	8786129	8786951	-
NA	100128662	RPL27P3	chr1	8798438	8799557	+
HGNC:36708	100131143	RPL23AP19	chr1	8831113	8831432	+
HGNC:3350	2023	ENO1	chr1	8861000	8878686	-
HGNC:49961	102465436	MIR6728	chr1	8866502	8866590	-
HGNC:40214	100505975	ENO1-AS1	chr1	8878835	8879885	+
HGNC:47267	106481275	RNU6-304P	chr1	8883427	8883533	-
HGNC:39381	100113373	HMGN2P17	chr1	8893411	8894603	+
NA	112268261	LOC112268261	chr1	8905216	8926874	-
HGNC:1380	765	CA6	chr1	8945868	8975092	+
HGNC:46467	106480377	RN7SL451P	chr1	8979576	8979874	-
HGNC:13445	155184	SLC2A7	chr1	8992534	9026423	-
HGNC:11010	6518	SLC2A5	chr1	9035106	9094195	-
NA	124900441	LOC124900441	chr1	9082696	9082879	+
HGNC:23687	80045	GPR157	chr1	9100305	9129102	-
HGNC:51913	106614088	MIR34AHG	chr1	9148011	9182338	-
HGNC:31635	407040	MIR34A	chr1	9151668	9151777	-
HGNC:52548	102724571	LNCTAM34A	chr1	9182204	9192086	+
HGNC:4795	9563	H6PD	chr1	9234774	9271337	+
NA	124903836	LOC124903836	chr1	9241963	9242718	-
HGNC:30628	80176	SPSB1	chr1	9292894	9369532	+
HGNC:54047	100506022	LINC02606	chr1	9425094	9428996	-
HGNC:42816	100873279	RNA5SP40	chr1	9437669	9437778	-
HGNC:29681	84275	SLC25A33	chr1	9539465	9585173	+
HGNC:35621	642740	RPL9P11	chr1	9576405	9577081	+
HGNC:33719	199953	TMEM201	chr1	9588911	9614877	+
NA	124903837	LOC124903837	chr1	9614664	9622316	+
HGNC:8977	5293	PIK3CD	chr1	9627258	9729114	+
NA	105376712	LOC105376712	chr1	9628447	9629427	-
HGNC:32346	644997	PIK3CD-AS1	chr1	9652610	9654586	-
HGNC:37030	100270883	RPL26P7	chr1	9662288	9662628	-
HGNC:51334	101929074	PIK3CD-AS2	chr1	9672426	9687574	-
NA	124903839	LOC124903839	chr1	9718103	9718736	-
HGNC:17447	22883	CLSTN1	chr1	9728926	9824526	-
HGNC:50605	106480302	MZT1P1	chr1	9780822	9781440	+
HGNC:16913	56998	CTNNBIP1	chr1	9848276	9910269	-
NA	105376717	LOC105376717	chr1	9850665	9855492	+
NA	124903838	LOC124903838	chr1	9879947	9883698	-
HGNC:17497	84328	LZIC	chr1	9922118	9943391	-
HGNC:17877	64802	NMNAT1	chr1	9942923	9996892	+
HGNC:45993	106480915	RN7SKP269	chr1	9947318	9947562	+
HGNC:53732	113391335	TMEM274P	chr1	9950572	9960787	-
HGNC:43509	100847055	MIR5697	chr1	9967381	9967458	+
NA	124903840	LOC124903840	chr1	9996719	9998089	-
HGNC:30316	116362	RBP7	chr1	9997228	10016021	+
HGNC:12500	10277	UBE4B	chr1	10032958	10181239	+
HGNC:35728	100270877	RPL21P21	chr1	10054412	10054781	-
HGNC:42464	100420660	PGAM1P11	chr1	10058673	10059654	+
HGNC:47791	106479932	RNU6-828P	chr1	10163268	10163374	+
HGNC:16636	23095	KIF1B	chr1	10210570	10381603	+
HGNC:34281	106478920	RNU6-37P	chr1	10298966	10299070	+
HGNC:46747	107048981	RN7SL731P	chr1	10306465	10306757	+
HGNC:8891	5226	PGD	chr1	10399064	10420511	+
HGNC:38843	100526739	CENPS-CORT	chr1	10430433	10452153	+
HGNC:23163	378708	CENPS	chr1	10430433	10442808	+
HGNC:2257	1325	CORT	chr1	10450031	10451998	+
HGNC:2772	1676	DFFA	chr1	10456522	10472529	-
HGNC:8856	5195	PEX14	chr1	10474950	10630758	+
HGNC:46630	106481089	RN7SL614P	chr1	10616836	10617115	+
HGNC:26002	54897	CASZ1	chr1	10636604	10796646	-
NA	105376733	LOC105376733	chr1	10809160	10815658	-
HGNC:49343	106480259	HSPE1P24	chr1	10895761	10895998	+
NA	105376735	LOC105376735	chr1	10912912	10918733	-
HGNC:26730	148345	C1orf127	chr1	10946475	10982076	-
HGNC:34545	390996	CFL1P6	chr1	10989810	10991829	-
HGNC:11571	23435	TARDBP	chr1	11012654	11030528	+
HGNC:6902	10747	MASP2	chr1	11026523	11047239	-
HGNC:11296	6723	SRM	chr1	11054589	11060018	-
HGNC:9138	5394	EXOSC10	chr1	11066618	11099869	-
HGNC:40456	105376736	EXOSC10-AS1	chr1	11099675	11102105	+
HGNC:3942	2475	MTOR	chr1	11106535	11262551	-
HGNC:40242	100873935	MTOR-AS1	chr1	11143898	11149538	+
HGNC:47500	106479804	RNU6-537P	chr1	11152350	11152413	+
NA	124904848	LOC124904848	chr1	11169507	11169613	-
HGNC:24078	10218	ANGPTL7	chr1	11189355	11195981	+
HGNC:47254	106479696	RNU6-291P	chr1	11226254	11226360	+
HGNC:35803	100270891	RPL39P6	chr1	11232910	11233313	+
HGNC:30791	29914	UBIAD1	chr1	11273198	11299574	+
HGNC:44891	100421341	UBE2V2P3	chr1	11278414	11279275	-
NA	105376737	LOC105376737	chr1	11311876	11316302	-
NA	105376739	LOC105376739	chr1	11357945	11365055	+
NA	105376740	LOC105376740	chr1	11371689	11377536	+
NA	124903841	LOC124903841	chr1	11394935	11398213	+
HGNC:52313	109729120	MTCYBP45	chr1	11425257	11425821	-
HGNC:29251	57540	DISP3	chr1	11479155	11537551	+
NA	124903842	LOC124903842	chr1	11495948	11499474	-
HGNC:52434	101929181	LINC01647	chr1	11609531	11613355	+
HGNC:13581	26232	FBXO2	chr1	11648387	11654429	-
HGNC:24847	93611	FBXO44	chr1	11654407	11663327	+
HGNC:13585	26270	FBXO6	chr1	11664200	11674354	+
HGNC:6764	10459	MAD2L2	chr1	11674480	11691830	-
HGNC:25054	374946	DRAXIN	chr1	11686635	11725857	+
HGNC:13539	57085	AGTRAP	chr1	11736136	11750769	+
NA	101060126	LOC101060126	chr1	11761379	11762321	-
HGNC:25262	284498	C1orf167	chr1	11762193	11789585	+
HGNC:41091	102724659	C1orf167-AS1	chr1	11777077	11779619	-
HGNC:7436	4524	MTHFR	chr1	11785723	11805964	-
HGNC:2024	1185	CLCN6	chr1	11806191	11843130	+
HGNC:37635	100379251	NPPA-AS1	chr1	11840319	11847616	+
HGNC:7939	4878	NPPA	chr1	11845709	11847783	-
HGNC:7940	4879	NPPB	chr1	11857464	11858945	-
HGNC:54552	390997	SBF1P2	chr1	11877769	11880758	+
HGNC:10215	26829	RNU5E-1	chr1	11908154	11908272	+
HGNC:42513	100873829	RNU5E-4P	chr1	11909808	11909927	-
NA	124903843	LOC124903843	chr1	11911493	11913226	+
HGNC:28513	90231	KIAA2013	chr1	11919591	11926427	-
HGNC:9081	5351	PLOD1	chr1	11934717	11975537	+
HGNC:16877	9927	MFN2	chr1	11980444	12013508	+
HGNC:25715	60672	MIIP	chr1	12019498	12032045	+
HGNC:50103	102466982	MIR6729	chr1	12029158	12029222	+
HGNC:46665	106481100	RN7SL649P	chr1	12036740	12037014	-
HGNC:11923	943	TNFRSF8	chr1	12063303	12144207	+
HGNC:47740	106481426	RNU6-777P	chr1	12077881	12077984	-
HGNC:51623	106480336	RPL23AP89	chr1	12080250	12080546	-
HGNC:50029	102465836	MIR7846	chr1	12166943	12167038	+
HGNC:11917	7133	TNFRSF1B	chr1	12166991	12209220	+
NA	124903844	LOC124903844	chr1	12176179	12180309	+
HGNC:41593	100616438	MIR4632	chr1	12191713	12191773	+
HGNC:52348	390998	RPL10P17	chr1	12220727	12221109	-
NA	124900427	LOC124900427	chr1	12221148	12221271	-
HGNC:23595	55187	VPS13D	chr1	12230030	12512047	+
NA	124903845	LOC124903845	chr1	12356724	12368869	-
NA	124904680	LOC124904680	chr1	12409168	12409251	-
HGNC:32653	677885	SNORA59A	chr1	12507246	12507397	+
HGNC:54286	105376744	LINC02766	chr1	12525264	12535608	+
HGNC:17693	9249	DHRS3	chr1	12567910	12618210	-
HGNC:46917	106479551	RNU6ATAC18P	chr1	12569972	12570072	-
HGNC:50222	102466722	MIR6730	chr1	12578957	12579023	-
HGNC:32038	343066	AADACL4	chr1	12644085	12667076	+
NA	124903846	LOC124903846	chr1	12702894	12707849	-
HGNC:32037	126767	AADACL3	chr1	12716110	12728760	+
NA	124904811	LOC124904811	chr1	12739736	12739839	+
HGNC:28567	93190	CFAP107	chr1	12746200	12763699	+
HGNC:22125	390999	PRAMEF12	chr1	12773738	12777906	+
HGNC:28840	65121	PRAMEF1	chr1	12791397	12796628	+
HGNC:52574	105376745	LINC01784	chr1	12822686	12823223	-
HGNC:14086	440560	PRAMEF11	chr1	12824605	12831410	-
HGNC:51892	441870	PRAMEF30P	chr1	12838470	12841383	-
HGNC:29295	343069	HNRNPCL1	chr1	12847377	12848720	-
HGNC:28841	65122	PRAMEF2	chr1	12857086	12861909	+
HGNC:31971	400735	PRAMEF4	chr1	12879212	12886201	-
HGNC:27997	343071	PRAMEF10	chr1	12892896	12898270	-
HGNC:28415	441871	PRAMEF7	chr1	12916610	12920751	+
HGNC:48035	106480037	RNU6-1072P	chr1	12922554	12922659	+
HGNC:51891	729356	PRAMEF29P	chr1	12926162	12928882	+
HGNC:30583	440561	PRAMEF6	chr1	12938472	12947580	-
HGNC:51890	102724742	PRAMEF28P	chr1	13029364	13032130	+
HGNC:51234	101929983	PRAMEF27	chr1	13049476	13056575	-
HGNC:51235	649330	HNRNPCL3	chr1	13060769	13062878	+
HGNC:49179	441873	PRAMEF25	chr1	13070774	13077884	+
HGNC:51895	649324	PRAMEF34P	chr1	13094515	13099717	-
HGNC:51896	100419649	PRAMEF35P	chr1	13104375	13105689	-
HGNC:48813	440563	HNRNPCL2	chr1	13115488	13116854	-
HGNC:51897	645354	PRAMEF36P	chr1	13127069	13132274	+
HGNC:49178	645359	PRAMEF26	chr1	13148907	13156009	-
HGNC:51333	101060301	HNRNPCL4	chr1	13163914	13165631	-
HGNC:27996	343070	PRAMEF9	chr1	13171848	13179459	+
HGNC:13262	400736	PRAMEF13	chr1	13196188	13201409	-
HGNC:30693	391003	PRAMEF18	chr1	13222695	13226154	-
HGNC:51893	100129611	PRAMEF31P	chr1	13245837	13248814	+
HGNC:27995	343068	PRAMEF5	chr1	13254198	13263435	+
HGNC:51894	650236	PRAMEF32P	chr1	13272907	13275627	-
HGNC:47734	106479907	RNU6-771P	chr1	13279126	13279231	-
HGNC:24074	391002	PRAMEF8	chr1	13281304	13285137	-
HGNC:49193	645382	PRAMEF33	chr1	13303539	13308907	+
HGNC:26764	653619	PRAMEF15	chr1	13315581	13322598	+
HGNC:13576	729528	PRAMEF14	chr1	13341892	13347134	-
