hgnc_id	ensembl_gene_id	symbol	ensembl_transcript_id	contig	start	end	strand
HGNC:46590	ENSG00000266075.2	RN7SL574P		chr1	3782815	3783111	+
HGNC:24866	ENSG00000116198.14	CEP104	ENST00000378230.8	chr1	3812086	3857396	-
HGNC:2773	ENSG00000169598.17	DFFB	ENST00000378209.8	chr1	3857267	3885429	+
HGNC:27915	ENSG00000198912.12	C1orf174	ENST00000361605.4	chr1	3889125	3900293	-
HGNC:49449	ENSG00000236423.7	LINC01134		chr1	3900352	3917225	+
HGNC:50563	ENSG00000233304.7	LINC01346		chr1	3940486	3955262	+
HGNC:50564	ENSG00000226374.3	LINC01345		chr1	3944547	3949024	-
HGNC:54300	ENSG00000284668.2	LINC02780		chr1	3976133	4012704	+
HGNC:51456	ENSG00000229280.1	EEF1DP6		chr1	4175528	4175899	-
HGNC:52567	ENSG00000235054.4	LINC01777		chr1	4412027	4424689	+
HGNC:52433	ENSG00000232596.3	LINC01646		chr1	4571481	4594016	+
HGNC:30801	ENSG00000196581.11	AJAP1	ENST00000378191.5	chr1	4654609	4792534	+
HGNC:54301	ENSG00000284674.1	LINC02781		chr1	4973381	4981568	+
HGNC:54302	ENSG00000231510.1	LINC02782		chr1	5086459	5090899	-
HGNC:41895	ENSG00000264101.1	MIR4689		chr1	5862672	5862741	-
HGNC:19104	ENSG00000131697.18	NPHP4	ENST00000378156.9	chr1	5862811	5992473	-
HGNC:6229	ENSG00000069424.16	KCNAB2	ENST00000378083.8	chr1	5990927	6101193	+
HGNC:16816	ENSG00000116254.18	CHD5	ENST00000262450.8	chr1	6101787	6180321	-
HGNC:10315	ENSG00000116251.11	RPL22	ENST00000234875.9	chr1	6185020	6209389	-
HGNC:41286	ENSG00000226944.1	RNF207-AS1		chr1	6204840	6205780	-
HGNC:32947	ENSG00000158286.13	RNF207	ENST00000377939.5	chr1	6205475	6221299	+
HGNC:5350	ENSG00000116237.16	ICMT	ENST00000343813.10	chr1	6221193	6235972	-
HGNC:28620	ENSG00000225077.3	LINC00337		chr1	6234692	6239444	+
HGNC:26226	ENSG00000173673.8	HES3	ENST00000377898.4	chr1	6244179	6245578	+
HGNC:23618	ENSG00000158292.7	GPR153	ENST00000377893.3	chr1	6247353	6261098	-
HGNC:24157	ENSG00000097021.20	ACOT7	ENST00000361521.9	chr1	6264269	6393767	-
HGNC:16005	ENSG00000069812.11	HES2	ENST00000377834.8	chr1	6412418	6424670	-
HGNC:13281	ENSG00000187017.18	ESPN	ENST00000645284.1	chr1	6424776	6461367	+
HGNC:38384	ENSG00000265392.1	MIR4252		chr1	6429834	6429896	-
HGNC:11910	ENSG00000215788.11	TNFRSF25	ENST00000356876.8	chr1	6460786	6466175	-
HGNC:29105	ENSG00000171680.23	PLEKHG5	ENST00000377728.8	chr1	6467122	6520074	-
HGNC:26265	ENSG00000162408.11	NOL9	ENST00000377705.6	chr1	6521347	6554513	-
HGNC:47694	ENSG00000253022.1	RNU6-731P		chr1	6540854	6540964	+
HGNC:14448	ENSG00000173662.21	TAS1R1	ENST00000333172.11	chr1	6555307	6579755	+
HGNC:4930	ENSG00000204859.13	ZBTB48	ENST00000377674.9	chr1	6579994	6589280	+
HGNC:29041	ENSG00000162413.17	KLHL21	ENST00000377658.8	chr1	6590724	6614607	-
HGNC:22983	ENSG00000116273.6	PHF13	ENST00000377648.5	chr1	6613731	6624030	+
HGNC:20855	ENSG00000041988.16	THAP3	ENST00000054650.9	chr1	6624868	6635586	+
HGNC:25570	ENSG00000007923.17	DNAJC11	ENST00000377577.10	chr1	6634168	6701924	-
HGNC:52460	ENSG00000228750.7	LINC01672		chr1	6724637	6730012	+
HGNC:53020	ENSG00000237436.1	CAMTA1-DT		chr1	6783892	6784843	-
HGNC:18806	ENSG00000171735.19	CAMTA1	ENST00000303635.12	chr1	6785454	7769706	+
HGNC:48307	ENSG00000207056.1	RNU1-8P		chr1	7219360	7219524	+
HGNC:41446	ENSG00000237402.1	CAMTA1-IT1		chr1	7368942	7370270	+
HGNC:40855	ENSG00000237728.2	CAMTA1-AS2		chr1	7382487	7389754	-
HGNC:40856	ENSG00000225126.1	CAMTA1-AS1		chr1	7441096	7441554	-
HGNC:12644	ENSG00000049245.13	VAMP3	ENST00000054666.11	chr1	7771296	7781432	+
HGNC:8847	ENSG00000049246.15	PER3	ENST00000377532.8	chr1	7784291	7845177	+
HGNC:12636	ENSG00000049247.14	UTS2	ENST00000361696.10	chr1	7843083	7853512	-
HGNC:11924	ENSG00000049249.9	TNFRSF9	ENST00000377507.8	chr1	7915871	7943165	-
HGNC:16369	ENSG00000116288.13	PARK7	ENST00000338639.10	chr1	7954291	7985505	+
HGNC:18185	ENSG00000116285.13	ERRFI1	ENST00000377482.10	chr1	8004404	8026309	-
HGNC:52501	ENSG00000227634.3	LINC01714		chr1	8201518	8215210	+
HGNC:48306	ENSG00000200975.1	RNU1-7P		chr1	8206434	8206597	-
HGNC:47954	ENSG00000251977.1	RNU6-991P		chr1	8292157	8292263	-
HGNC:17939	ENSG00000162426.16	SLC45A1	ENST00000471889.7	chr1	8318114	8344167	+
HGNC:9965	ENSG00000142599.19	RERE	ENST00000400908.7	chr1	8352397	8848921	-
HGNC:40501	ENSG00000232912.6	RERE-AS1		chr1	8424645	8435013	+
HGNC:35667	ENSG00000234619.1	RPL7P11		chr1	8750430	8751087	+
HGNC:36895	ENSG00000224315.2	RPL7P7		chr1	8786211	8786913	-
HGNC:36708	ENSG00000229716.2	RPL23AP19		chr1	8831007	8831375	+
HGNC:3350	ENSG00000074800.16	ENO1	ENST00000234590.10	chr1	8861000	8879190	-
HGNC:49961	ENSG00000274258.1	MIR6728		chr1	8866502	8866590	-
HGNC:40214	ENSG00000230679.1	ENO1-AS1		chr1	8878835	8879894	+
HGNC:47267	ENSG00000201725.1	RNU6-304P		chr1	8883427	8883533	-
HGNC:39381	ENSG00000238249.2	HMGN2P17		chr1	8893409	8894151	+
HGNC:1380	ENSG00000131686.15	CA6	ENST00000377443.7	chr1	8945867	8975092	+
HGNC:46467	ENSG00000265141.2	RN7SL451P		chr1	8979576	8979874	-
HGNC:13445	ENSG00000197241.4	SLC2A7	ENST00000400906.2	chr1	9002973	9026423	-
HGNC:11010	ENSG00000142583.18	SLC2A5	ENST00000377424.9	chr1	9035106	9088478	-
HGNC:23687	ENSG00000180758.12	GPR157	ENST00000377411.5	chr1	9100305	9129102	-
HGNC:51913	ENSG00000228526.7	MIR34AHG		chr1	9148011	9198906	-
HGNC:31635	ENSG00000284357.1	MIR34A		chr1	9151668	9151777	-
HGNC:52548	ENSG00000234546.5	LNCTAM34A		chr1	9182004	9196284	+
HGNC:4795	ENSG00000049239.13	H6PD	ENST00000377403.7	chr1	9234774	9271337	+
HGNC:30628	ENSG00000171621.14	SPSB1	ENST00000328089.11	chr1	9292894	9369532	+
HGNC:54047	ENSG00000284693.2	LINC02606		chr1	9425094	9440564	-
HGNC:42816	ENSG00000252956.1	RNA5SP40		chr1	9437669	9437778	-
HGNC:29681	ENSG00000171612.7	SLC25A33	ENST00000302692.7	chr1	9539465	9585173	+
HGNC:33719	ENSG00000188807.13	TMEM201	ENST00000340381.11	chr1	9588911	9614877	+
HGNC:8977	ENSG00000171608.17	PIK3CD	ENST00000377346.9	chr1	9651731	9729114	+
HGNC:32346	ENSG00000179840.5	PIK3CD-AS1		chr1	9652610	9654586	-
HGNC:51334	ENSG00000231789.3	PIK3CD-AS2		chr1	9672405	9687573	-
HGNC:17447	ENSG00000171603.18	CLSTN1	ENST00000377298.9	chr1	9728926	9823984	-
HGNC:50605	ENSG00000271264.1	MZT1P1		chr1	9780822	9781240	+
HGNC:16913	ENSG00000178585.15	CTNNBIP1	ENST00000377263.6	chr1	9848276	9910336	-
HGNC:17497	ENSG00000162441.12	LZIC	ENST00000377223.6	chr1	9922113	9943407	-
HGNC:17877	ENSG00000173614.14	NMNAT1	ENST00000377205.6	chr1	9943428	9985501	+
HGNC:45993	ENSG00000202415.1	RN7SKP269		chr1	9947318	9947636	+
HGNC:53732	ENSG00000283611.2	TMEM274P		chr1	9950572	9960787	-
HGNC:43509	ENSG00000265521.1	MIR5697		chr1	9967381	9967458	+
HGNC:30316	ENSG00000162444.12	RBP7	ENST00000294435.8	chr1	9997206	10016021	+
HGNC:12500	ENSG00000130939.20	UBE4B	ENST00000343090.11	chr1	10032832	10181239	+
HGNC:42464	ENSG00000233623.2	PGAM1P11		chr1	10058671	10059648	+
HGNC:47791	ENSG00000201746.1	RNU6-828P		chr1	10163268	10163374	+
HGNC:16636	ENSG00000054523.19	KIF1B	ENST00000676179.1	chr1	10210570	10381603	+
HGNC:34281	ENSG00000199562.1	RNU6-37P		chr1	10298966	10299072	+
HGNC:46747	ENSG00000264501.2	RN7SL731P		chr1	10306465	10306757	+
HGNC:8891	ENSG00000142657.21	PGD	ENST00000270776.13	chr1	10398592	10420511	+
HGNC:38843	ENSG00000251503.8	CENPS-CORT	ENST00000602787.6	chr1	10430102	10452153	+
HGNC:23163	ENSG00000175279.22	CENPS	ENST00000309048.8	chr1	10430433	10442808	+
HGNC:2257	ENSG00000241563.4	CORT	ENST00000377049.4	chr1	10450031	10451998	+
HGNC:2772	ENSG00000160049.12	DFFA	ENST00000377038.8	chr1	10456522	10472529	-
HGNC:8856	ENSG00000142655.13	PEX14	ENST00000356607.9	chr1	10472288	10630758	+
HGNC:46630	ENSG00000243267.3	RN7SL614P		chr1	10616836	10617115	+
HGNC:26002	ENSG00000130940.15	CASZ1	ENST00000377022.8	chr1	10636604	10796650	-
HGNC:49343	ENSG00000225158.2	HSPE1P24		chr1	10895761	10895998	+
HGNC:26730	ENSG00000175262.14	C1orf127	ENST00000377004.8	chr1	10946471	10982037	-
HGNC:34545	ENSG00000215785.2	CFL1P6		chr1	10990978	10991797	-
HGNC:11571	ENSG00000120948.19	TARDBP	ENST00000240185.8	chr1	11012344	11030528	+
HGNC:6902	ENSG00000009724.17	MASP2	ENST00000400897.8	chr1	11026523	11047239	-
HGNC:11296	ENSG00000116649.10	SRM	ENST00000376957.7	chr1	11054584	11060020	-
HGNC:9138	ENSG00000171824.14	EXOSC10	ENST00000376936.9	chr1	11066618	11099869	-
HGNC:40456	ENSG00000230337.2	EXOSC10-AS1		chr1	11099430	11102100	+
HGNC:3942	ENSG00000198793.13	MTOR	ENST00000361445.9	chr1	11106535	11262551	-
HGNC:40242	ENSG00000225602.5	MTOR-AS1		chr1	11143898	11149537	+
HGNC:47500	ENSG00000253086.1	RNU6-537P		chr1	11152350	11152452	+
HGNC:24078	ENSG00000171819.5	ANGPTL7	ENST00000376819.4	chr1	11189355	11195981	+
HGNC:47254	ENSG00000207451.1	RNU6-291P		chr1	11226254	11226360	+
HGNC:35803	ENSG00000238173.1	RPL39P6		chr1	11232963	11233112	+
HGNC:30791	ENSG00000120942.14	UBIAD1	ENST00000376810.6	chr1	11273198	11296049	+
HGNC:44891	ENSG00000238199.1	UBE2V2P3		chr1	11278616	11279351	-
HGNC:52313	ENSG00000224338.2	MTCYBP45		chr1	11425257	11425821	-
HGNC:29251	ENSG00000204624.8	DISP3	ENST00000294484.7	chr1	11479155	11537551	+
HGNC:52434	ENSG00000235643.2	LINC01647		chr1	11609468	11613358	+
HGNC:13581	ENSG00000116661.11	FBXO2	ENST00000354287.5	chr1	11637018	11655785	-
HGNC:24847	ENSG00000132879.14	FBXO44	ENST00000251547.10	chr1	11654375	11663327	+
HGNC:13585	ENSG00000116663.11	FBXO6	ENST00000376753.9	chr1	11664200	11674354	+
HGNC:6764	ENSG00000116670.15	MAD2L2	ENST00000376692.9	chr1	11674480	11691650	-
HGNC:25054	ENSG00000162490.7	DRAXIN	ENST00000294485.6	chr1	11691710	11725857	+
HGNC:13539	ENSG00000177674.16	AGTRAP	ENST00000314340.10	chr1	11736084	11754802	+
HGNC:25262	ENSG00000215910.8	C1orf167	ENST00000688073.1	chr1	11761787	11789585	+
HGNC:41091	ENSG00000177553.6	C1orf167-AS1		chr1	11777077	11779619	-
HGNC:7436	ENSG00000177000.13	MTHFR	ENST00000376590.9	chr1	11785723	11806455	-
HGNC:2024	ENSG00000011021.23	CLCN6	ENST00000346436.11	chr1	11806096	11848079	+
HGNC:7939	ENSG00000175206.11	NPPA	ENST00000376480.7	chr1	11845709	11848345	-
HGNC:7940	ENSG00000120937.9	NPPB	ENST00000376468.4	chr1	11857464	11858945	-
HGNC:54552	ENSG00000224904.1	SBF1P2		chr1	11877770	11880406	+
HGNC:10215	ENSG00000199347.1	RNU5E-1		chr1	11908152	11908271	+
HGNC:42513	ENSG00000201801.1	RNU5E-4P		chr1	11909808	11909927	-
HGNC:28513	ENSG00000116685.16	KIAA2013	ENST00000376572.8	chr1	11919591	11926428	-
HGNC:9081	ENSG00000083444.17	PLOD1	ENST00000196061.5	chr1	11934205	11975538	+
HGNC:16877	ENSG00000116688.18	MFN2	ENST00000235329.10	chr1	11980181	12015211	+
HGNC:25715	ENSG00000116691.11	MIIP	ENST00000235332.6	chr1	12019466	12032045	+
HGNC:50103	ENSG00000276869.1	MIR6729		chr1	12029158	12029222	+
HGNC:46665	ENSG00000243539.3	RN7SL649P		chr1	12036740	12037014	-
HGNC:11923	ENSG00000120949.15	TNFRSF8	ENST00000263932.7	chr1	12063303	12144207	+
HGNC:47740	ENSG00000201135.1	RNU6-777P		chr1	12077881	12077984	-
HGNC:51623	ENSG00000227875.2	RPL23AP89		chr1	12080293	12080547	-
HGNC:50029	ENSG00000283789.1	MIR7846		chr1	12166943	12167038	+
HGNC:11917	ENSG00000028137.19	TNFRSF1B	ENST00000376259.7	chr1	12166991	12209228	+
HGNC:41593	ENSG00000263676.1	MIR4632		chr1	12191713	12191773	+
HGNC:52348	ENSG00000225196.2	RPL10P17		chr1	12220794	12221109	-
HGNC:23595	ENSG00000048707.15	VPS13D	ENST00000620676.6	chr1	12230030	12512047	+
HGNC:32653	ENSG00000239149.1	SNORA59A		chr1	12507246	12507397	+
HGNC:54286	ENSG00000229484.2	LINC02766		chr1	12525738	12530462	+
HGNC:17693	ENSG00000162496.9	DHRS3	ENST00000616661.5	chr1	12567910	12618210	-
HGNC:46917	ENSG00000221340.1	RNU6ATAC18P		chr1	12569972	12570072	-
HGNC:50222	ENSG00000276830.1	MIR6730		chr1	12578957	12579023	-
HGNC:32038	ENSG00000204518.3	AADACL4	ENST00000376221.2	chr1	12644085	12667076	+
HGNC:32037	ENSG00000188984.12	AADACL3	ENST00000359318.8	chr1	12716110	12728760	+
HGNC:28567	ENSG00000157330.10	C1orf158	ENST00000614859.5	chr1	12746200	12763699	+
HGNC:22125	ENSG00000116726.5	PRAMEF12	ENST00000357726.5	chr1	12773738	12777906	+
HGNC:28840	ENSG00000116721.9	PRAMEF1	ENST00000332296.7	chr1	12791397	12796628	+
HGNC:52574	ENSG00000228338.1	LINC01784		chr1	12822686	12823159	-
HGNC:14086	ENSG00000239810.3	PRAMEF11	ENST00000619922.1	chr1	12824605	12831410	-
HGNC:51892	ENSG00000231103.2	PRAMEF30P		chr1	12838125	12841357	-
HGNC:29295	ENSG00000179172.10	HNRNPCL1	ENST00000317869.7	chr1	12847377	12848720	-
HGNC:28841	ENSG00000120952.4	PRAMEF2	ENST00000240189.2	chr1	12857086	12861909	+
HGNC:31971	ENSG00000243073.4	PRAMEF4	ENST00000235349.6	chr1	12879212	12886201	-
HGNC:27997	ENSG00000187545.5	PRAMEF10	ENST00000235347.4	chr1	12892896	12898270	-
HGNC:28415	ENSG00000204510.5	PRAMEF7	ENST00000330881.6	chr1	12916610	12920482	+
HGNC:48035	ENSG00000207434.1	RNU6-1072P		chr1	12922554	12922660	+
HGNC:51891	ENSG00000234064.1	PRAMEF29P		chr1	12926162	12928253	+
HGNC:30583	ENSG00000232423.6	PRAMEF6	ENST00000376189.5	chr1	12938472	12947580	-
HGNC:51890	ENSG00000274178.2	PRAMEF28P		chr1	13029339	13032130	+
HGNC:51234	ENSG00000274764.6	PRAMEF27	ENST00000436041.6	chr1	13049476	13056575	-
