symbol	entrezgene	ensembl_gene_id	mechanism_of_inheritance	syndrome_cui	condition_cui	source	phenotypes	mechanism_of_disease	oncogene	tumor_suppressor	n_trunc_path	n_nontrunc_path	n_nontrunc_benign	benign_missense_rate	path_truncation_rate	confidence_level	id	panel_url	panel_version	panel_name	genename
APC	324	ENSG00000134982	AD/AR	C2713442&C0032580	NA	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Adult Glioma, Childhood;Childhood solid tumours pertinent cancer susceptibility, Colorectal, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis); R211;R209, R230, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Colorectal Cancer, Hepatoblastoma, Desmoid Tumor; Familial adenomatous polyposis (FAP) ; colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	LoF	FALSE	TRUE	260	6	17	0.74	0.98	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	APC regulator of WNT signaling pathway
APOBEC3B	9582	ENSG00000179750	AR	NA	NA	CGC_94	breast cancer	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
AR	367	ENSG00000169083	AD	NA	NA	CGC_94&PANEL_APP	"Familial breast and or ovarian cancer, Familial ovarian cancer;R207"	NA	TRUE	FALSE	3	12	10	0.45	0.2	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	androgen receptor
ARHGEF12	23365	ENSG00000196914	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	Rho guanine nucleotide exchange factor 12
ARID1A	8289	ENSG00000117713	AD	NA	NA	OTHER		NA	FALSE	TRUE	1	0	6	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	AT-rich interaction domain 1A
ARID2	196528	ENSG00000189079	AD	NA	NA	OTHER		NA	FALSE	TRUE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	AT-rich interaction domain 2
ARID5B	84159	ENSG00000150347	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	AT-rich interaction domain 5B
ARMC5	79798	ENSG00000140691	AD	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	armadillo repeat containing 5
ASXL1	171023	ENSG00000171456	NA	NA	NA	OTHER		NA	FALSE	FALSE	6	0	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ASXL transcriptional regulator 1
ATM	472	ENSG00000149311	AD/AR	C0004135	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Adult Glioma, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Familial breast and or ovarian cancer, Haemonc;Haematological malignancies pertinent cancer susceptibility; Familial ovarian cancer;R207, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; leukaemia, lymphoma, medulloblastoma, glioma; Lymphoid Hematological Malignancy (Leukemia, Lymphoma), Monoallelic Mutations:, Breast Cancer; Ataxia-Telangiectasia (biallelic mutations)"	LoF	FALSE	TRUE	551	30	21	0.41	0.95	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ATM serine/threonine kinase
ATR	545	ENSG00000175054	AD	C3281203&C0265202	NA	CGC_94&PANEL_APP&TCGA_PANCAN_2018	"Endometrial, Gastric; familial cutaneous telangiectasia and cancer sydrome, Seckel syndrome; oropharyngeal"	LoF	FALSE	FALSE	0	0	12	1	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ATR serine/threonine kinase
ATRX	546	ENSG00000085224	NA	NA	NA	OTHER		NA	FALSE	TRUE	4	4	13	0.76	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ATRX chromatin remodeler
AXIN1	8312	ENSG00000103126	NA	NA	NA	NCGC		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	axin 1
AXIN2	8313	ENSG00000168646	AD/AR	C1837750	NA	CGC_94&NCGC&TCGA_PANCAN_2018	Colorectal Cancer; oligodentia-colorectal cancer syndrome; colorectal carcinoma	LoF	FALSE	TRUE	6	0	14	1	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	axin 2
BAP1	8314	ENSG00000163930	AD/AR	CN235077	C3280492	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, R254, R224, Malignant Melanoma; Melanoma (Cutaneous, Uveal), Mesothelioma, Meningioma, Lung Cancer (Adenocarcinoma); NA; mesothelioma, skin and uveal melanoma, kidney cancer"	LoF	FALSE	TRUE	26	0	5	NA	1	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BRCA1 associated protein 1
BARD1	580	ENSG00000138376	AR	NA	NA	CGC_94&NCGC&PANEL_APP	"Familial breast and or ovarian cancer, Familial ovarian cancer;R207; ovarian cancer, breast cancer, endometrioid cancer"	LoF	FALSE	TRUE	84	1	10	0.91	0.99	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BRCA1 associated RING domain 1
BCL10	8915	ENSG00000142867	AR	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BCL10 immune signaling adaptor
BCR	613	ENSG00000186716	NA	NA	NA	OTHER		NA	TRUE	FALSE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BCR activator of RhoGEF and GTPase
BLM	641	ENSG00000197299	AR	C0005859	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; leukaemia, lymphoma, skin squamous cell, other tumour types; Lymphoma And ALL Hematological Malignancy, Myeloid Hematological Malignancy, Squamous Cell Carcinoma, Scc, Gastic, Colorectal Cancers; Bloom syndrome"	LoF	FALSE	FALSE	66	1	9	0.9	0.99	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BLM RecQ like helicase
BMPR1A	657	ENSG00000107779	AD/AR	C0345893	NA	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Childhood;Childhood solid tumours pertinent cancer susceptibility, Colorectal, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), R211;R209, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Colorectal Cancer, Gastric Cancer, Hamartoma; Juvenile polyposis syndrome; gastrointestinal polyps"	LoF	FALSE	FALSE	24	2	1	NA	0.92	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	bone morphogenetic protein receptor type 1A
BRAF	673	ENSG00000157764	AD	C3150970&C3150971	NA	PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility; R230, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; RASopathy (Cardiofaciocutaneous Syndrome, Noonan Syndrome 7, and LEOPARD Syndrome 3)"	NA	TRUE	FALSE	0	51	6	0.11	0	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"B-Raf proto-oncogene, serine/threonine kinase"
BRCA1	672	ENSG00000012048	AD/AR	C0677776	NA	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Breast Cancer, Ovarian Cancer; Hereditary breast-ovarian cancer ; breast, ovarian; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Breast, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial breast and or ovarian cancer; GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), Haemonc;Haematological malignancies pertinent cancer susceptibility, Familial ovarian cancer;R207, R367, Ovarian, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	LoF	FALSE	TRUE	2321	98	160	0.62	0.96	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BRCA1 DNA repair associated
BRCA2	675	ENSG00000139618	AD/AR	C0677776&C1838457&C0677776	NA	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"breast, ovarian, pancreatic, leukaemia (FANCB, FANCD1); Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Breast, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial breast and or ovarian cancer, R254; GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), Haemonc;Haematological malignancies pertinent cancer susceptibility, Familial ovarian cancer;R207, R367, Ovarian, Prostate, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Myeloid Hematological Malignancy (, Medulloblastoma, Wilms Tumor, Monoallelic Mutations:, Breast Cancer, Ovarian Cancer, Prostate Cancer, Pancreas Cancer; Hereditary breast-ovarian cancerFanconi anaemia (D1) (biallelic mutations)"	LoF	FALSE	TRUE	2010	37	155	0.81	0.98	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BRCA2 DNA repair associated
BRIP1	83990	ENSG00000136492	AD/AR	C1836860	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"AML, leukaemia, breast; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial breast and or ovarian cancer; Haemonc;Haematological malignancies pertinent cancer susceptibility, Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Familial ovarian cancer;R207, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Myeloid Hematological Malignancy, Squamous Cell Carcinoma (Head And Neck, Esophagus, Genital Tract), Monoallelic Mutations:, Breast Cancer, Ovarian Cancer; Fanconi anaemia (J) (biallelic mutations)"	LoF	FALSE	TRUE	103	1	6	NA	0.99	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BRCA1 interacting helicase 1
BTK	695	ENSG00000010671	XLR	NA	NA	OTHER		NA	FALSE	FALSE	10	8	2	0.2	0.56	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	Bruton tyrosine kinase
BUB1	699	ENSG00000169679	NA	NA	NA	NCGC		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BUB1 mitotic checkpoint serine/threonine kinase
BUB1B	701	ENSG00000156970	AR	C1850343	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, Sarcoma;Sarcoma pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; rhabdomyosarcoma; Wilms Tumor, Rhabdomyosarcoma, Myeloid Hematological Malignancy; Mosaic variegated aneuploidy Syndrome"	LoF	FALSE	FALSE	1	0	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BUB1 mitotic checkpoint serine/threonine kinase B
BUB3	9184	ENSG00000154473	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	BUB3 mitotic checkpoint protein
CAMTA1	23261	ENSG00000171735	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	calmodulin binding transcription activator 1
CASP8	841	ENSG00000064012	AD	NA	NA	OTHER		NA	FALSE	TRUE	0	0	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	caspase 8
CASR	846	ENSG00000036828	NA	NA	NA	NCGC&PANEL_APP	Parathyroid cancer	NA	FALSE	TRUE	5	18	7	0.28	0.22	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	calcium sensing receptor
CBFA2T3	863	ENSG00000129993	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	CBFA2/RUNX1 partner transcriptional co-repressor 3
CBL	867	ENSG00000110395	AD	C0028326	NA	PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; JMML; Noonan syndrome"	LoF	TRUE	FALSE	4	3	11	0.79	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	Cbl proto-oncogene
CDC73	79577	ENSG00000134371	AD/AR	C1704981	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Neuro-endocrine Tumours- PCC and PGL, Multiple endocrine tumours;Multiple endocrine neoplasia type 1;Endocrine neoplasia, Parathyroid cancer, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; parathyroid adenoma, multiple ossifying jaw fibroma; Parathyroid Cancer, Ossifying Fibroma (Bone); Hyperparathyroidism-jaw tumor syndrome"	LoF	FALSE	FALSE	5	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cell division cycle 73
CDH1	999	ENSG00000039068	AD/AR	C1708349	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Breast Cancer (Lobular), Gastric Cancer (Diffuse); Hereditary diffuse gastric cancer; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Familial breast and or ovarian cancer, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), Familial ovarian cancer;R207; gastric"	LoF	FALSE	TRUE	133	8	34	0.81	0.94	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cadherin 1
CDH10	1008	ENSG00000040731	NA	NA	NA	CGC_94	pancreatic ductal adenocarcinoma	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cadherin 10
CDH11	1009	ENSG00000140937	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cadherin 11
CDK4	1019	ENSG00000135446	AD	NA	C1512419&C1836892	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, R254, R367, Malignant Melanoma, R230; melanoma; Melanoma; NA"	GoF	TRUE	TRUE	0	1	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cyclin dependent kinase 4
CDKN1A	1026	ENSG00000124762	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cyclin dependent kinase inhibitor 1A
CDKN1B	1027	ENSG00000111276	AD/AR	NA	C1970712	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Neuro-endocrine Tumours- PCC and PGL, Multiple endocrine tumours;Multiple endocrine neoplasia type 1;Endocrine neoplasia, phaeochromocytoma;paraganglioma;carcinoid;Neuroendocrine, Parathyroid cancer, Endocrine; pituitary, parathyroid; Thyroid Cancer,, Pituitary Adenoma; NA"	LoF	FALSE	TRUE	1	0	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cyclin dependent kinase inhibitor 1B
CDKN1C	1028	ENSG00000129757	AD	C0004903	NA	NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, Sarcoma;Sarcoma pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Embryonal Tumors; Beckwith-Wiedemann Syndrome"	LoF	FALSE	TRUE	0	0	9	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cyclin dependent kinase inhibitor 1C
CDKN2A	1029	ENSG00000147889	AD/AR	NA	C1512419	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, R254, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), R367, Malignant Melanoma, R230; Melanoma [P16 And P14arf], Pancreas Cancer [P16 ], Astrocytoma [P14arf ]; NA; melanoma, pancreatic"	LoF	FALSE	TRUE	18	22	10	0.31	0.45	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cyclin dependent kinase inhibitor 2A
CDKN2B	1030	ENSG00000147883	AD	NA	NA	PANEL_APP	R224	NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cyclin dependent kinase inhibitor 2B
CDKN2C	1031	ENSG00000123080	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	cyclin dependent kinase inhibitor 2C
